 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 24   # Spanwise = 80     First strip =  1
     Surface area =   15.071648       Ave. chord =    0.882932
     CLsurf  =       NaN     Clsurf  =       NaN
     CYsurf  =       NaN     Cmsurf  =       NaN
     CDsurf  =       NaN     Cnsurf  =       NaN
     CDisurf =       NaN     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =       NaN     CDsurf  =       NaN
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0016   0.9170   0.0059   0.9271   0.0090   1.0131   1.0131   0.0046   0.0000  -0.1263  -0.3791    0.375
     2   0.0144   0.9170   0.0176   0.9271   0.0092   1.0131   1.0131   0.0048   0.0000  -0.1263  -0.3791    0.375
     3   0.0399   0.9170   0.0293   0.9271   0.0092   1.0131   1.0131   0.0048   0.0000  -0.1263  -0.3791    0.375
     4   0.0782   0.9170   0.0409   0.9271   0.0092   1.0132   1.0132   0.0047   0.0000  -0.1263  -0.3791    0.375
     5   0.1292   0.9170   0.0525   0.9271   0.0092   1.0129   1.0129   0.0086   0.0000  -0.1263  -0.3791    0.375
     6   0.1927   0.9170   0.0640   0.9271   0.0092   1.0134   1.0134   0.0008   0.0000  -0.1263  -0.3791    0.375
     7   0.2688   0.9170   0.0754   0.9271   0.0092   1.0132   1.0132   0.0046   0.0000  -0.1263  -0.3791    0.375
     8   0.3572   0.9170   0.0867   0.9271   0.0092   1.0127   1.0127   0.0107   0.0000  -0.1263  -0.3791    0.375
     9   0.4579   0.9170   0.0979   0.9271   0.0093   1.0132   1.0132   0.0041   0.0000  -0.1263  -0.3791    0.375
    10   0.5706   0.9170   0.1089   0.9271   0.0092   1.0126   1.0126   0.0122   0.0000  -0.1263  -0.3791    0.375
    11   0.6953   0.9170   0.1197   0.9271   0.0093   1.0134   1.0134   0.0008   0.0000  -0.1263  -0.3791    0.375
    12   0.8316   0.9170   0.1304   0.9271   0.0093   1.0122   1.0122   0.0184   0.0000  -0.1263  -0.3791    0.375
    13   0.9795   0.9170   0.1408   0.9271   0.0093   1.0133   1.0133   0.0014   0.0000  -0.1263  -0.3791    0.375
    14   1.1387   0.9170   0.1510   0.9270   0.0093   1.0144   1.0144  -0.0141   0.0000  -0.1263  -0.3791    0.375
    15   1.3089   0.9170   0.1610   0.9270   0.0093   1.0136   1.0136  -0.0029   0.0000  -0.1263  -0.3791    0.375
    16   1.4899   0.9170   0.1708   0.9269   0.0093   1.0132   1.0132   0.0016   0.0000  -0.1263  -0.3790    0.375
    17   1.6813   0.9170   0.1803   0.9269   0.0093   1.0134   1.0134  -0.0015   0.0000  -0.1263  -0.3790    0.375
    18   1.8830   0.9170   0.1895   0.9268   0.0093   1.0130   1.0130   0.0029   0.0000  -0.1263  -0.3790    0.375
    19   2.0946   0.9170   0.1984   0.9268   0.0094   1.0143   1.0143  -0.0175   0.0000  -0.1263  -0.3790    0.375
    20   2.3157   0.9170   0.2070   0.9267   0.0094   1.0131   1.0131  -0.0019   0.0000  -0.1263  -0.3790    0.375
    21   2.5460   0.9170   0.2153   0.9266   0.0094   1.0130   1.0130  -0.0019   0.0000  -0.1263  -0.3789    0.375
    22   2.7852   0.9170   0.2233   0.9265   0.0095   1.0118   1.0118   0.0146   0.0000  -0.1263  -0.3789    0.375
