## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO.  3  ,  X0/2A= 0.228
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.9  0.00244 -12.8    
   -3.2  0.00254  -9.4    
   -1.4  0.00267  -6.3    
    0.4  0.00265  -2.7    
    2.1  0.00258   0.9    
    4.0  0.00258   4.6    
    5.7  0.00263   7.7    
    7.5  0.00268  10.7    
    9.3  0.00278  13.3    
   11.0  0.00291  15.4    
   12.8  0.00300  18.2    
   14.5  0.00305  21.2    
   16.2  0.00310  23.4    
   18.0  0.00315  25.4    
   19.7  0.00312  28.1    
   21.4  0.00323  30.0    
   23.1  0.00335  31.9    
   24.8  0.00344  33.4    
   26.5  0.00352  35.0    
   28.2  0.00361  36.0    
   30.0  0.00370  37.7    
   31.7  0.00378  39.2    
   33.5  0.00383  40.6    
   35.1  0.00392  41.7    
   36.9  0.00401  43.0    
   38.6  0.00408  44.4    
   40.3  0.00414  45.3    
   41.9  0.00420  46.3    
   43.6  0.00426  47.4    
   45.3  0.00432  48.5    
   47.1  0.00438  49.5    
   48.8  0.00445  50.8    
   50.6  0.00450  51.5    
   52.3  0.00454  52.2    
   54.1  0.00459  52.9    
   55.9  0.00464  53.7    
   57.6  0.00471  54.0    
   59.3  0.00476  54.6    
   61.1  0.00483  55.0    
   62.8  0.00483  55.3    
   64.6  0.00486  55.4    
   66.3  0.00487  55.9    
   68.1  0.00489  56.2    
   69.9  0.00492  56.5    
   71.6  0.00493  56.5    
   73.4  0.00494  56.8    
   75.2  0.00496  56.9    
   76.9  0.00499  56.9    
   78.6  0.00494  56.9    
   80.4  0.00493  57.1    
   82.2  0.00493  56.8    
   83.9  0.00493  56.8    
   85.6  0.00488  56.4    
   87.4  0.00488  56.4    
   89.1  0.00487  56.0    
   90.9  0.00483  55.8    
   92.7  0.00477  55.3    
   94.5  0.00476  54.8    
   96.2  0.00470  54.2    
   98.0  0.00463  53.7    
   99.7  0.00458  52.9    
  101.5  0.00451  52.4    
  103.2  0.00446  51.5    
  105.0  0.00437  50.4    
  106.7  0.00429  49.5    
  108.5  0.00419  48.8    
  110.2  0.00412  47.6    
  112.0  0.00399  46.8    
  113.8  0.00391  45.4    
  115.5  0.00379  43.9
  117.3  0.00367  42.8
  119.0  0.00354  41.0
  120.8  0.00340  39.4
  122.6  0.00328  37.3
  124.3  0.00312  35.2
  126.1  0.00293  32.7
  127.9  0.00276  30.0
  129.6  0.00253  26.5
  131.4  0.00229  22.8
  133.2  0.00207  18.7
  134.9  0.00180  13.0
  136.7  0.00156   8.0
  138.4  0.00134   2.8
  140.2  0.00114  -2.7
  141.9  0.00100  -7.8
  143.7  0.00098 -16.4
  145.5  0.00113 -20.8
  147.3  0.00134 -19.0
  149.0  0.00157 -15.2
  150.8  0.00193 -20.8
  152.6  0.00223 -26.7
  154.4  0.00267 -21.9
  156.2  0.00306 -15.5
  158.0  0.00335 -11.1
  159.7  0.00343  -9.0
  161.5  0.00333  -9.9
  163.3  0.00303 -13.8
  165.1  0.00273 -19.1
  166.8  0.00256 -22.9
  168.6  0.00265 -21.4
  170.4  0.00281 -18.6
  172.2  0.00288 -15.6
  174.0  0.00286 -10.1
  175.8  0.00287  -4.9
  177.6  0.00289  -3.5
  179.4  0.00289  -1.6
  181.2  0.00292   0.0
  183.0  0.00287   2.5
  184.8  0.00283   2.9
