## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   G&O.TTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    ONERA F1 WIND TUNNEL                     STAGN. PRESSURE  P0= 3.8 bar
# 
#    RUN: 1309  0                             INCIDENCE    ALPHA= 30.0 deg
# 
#    VELOCITY  UINF= 75.8 m/s                 REYNOLDS NO.   Re=43.54E06
# 
#    MEASURING STATION:    NO. 11  ,  X0/2A= 0.878
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.9  0.00342  -8.0    
   -3.2  0.00345  -5.8    
   -1.4  0.00350  -3.8    
    0.4  0.00351  -1.9    
    2.1  0.00353   0.1    
    4.0  0.00355   2.2    
    5.7  0.00357   4.3    
    7.5  0.00357   6.1    
    9.3  0.00358   8.1    
   11.0  0.00362   9.9    
   12.8  0.00362  11.6    
   14.5  0.00365  13.2    
   16.2  0.00365  14.7    
   18.0  0.00365  16.5    
   19.7  0.00368  17.6    
   21.4  0.00369  19.6    
   23.1  0.00371  21.0    
   24.8  0.00371  22.5    
   26.5  0.00370  24.1    
   28.2  0.00371  25.7    
   30.0  0.00370  27.3    
   31.7  0.00371  28.8    
   33.5  0.00368  30.3    
   35.1  0.00368  31.5    
   36.9  0.00368  33.0    
   38.6  0.00366  34.3    
   40.3  0.00363  35.3    
   41.9  0.00359  36.6    
   43.6  0.00359  37.6    
   45.3  0.00357  38.8    
   47.1  0.00354  40.0    
   48.8  0.00353  40.9    
   50.6  0.00347  41.8    
   52.3  0.00343  42.7    
   54.1  0.00340  43.5    
   55.9  0.00336  44.2    
   57.6  0.00330  44.9    
   59.3  0.00326  45.6    
   61.1  0.00323  46.2    
   62.8  0.00316  46.7    
   64.6  0.00313  47.0    
   66.3  0.00307  47.1    
   68.1  0.00300  47.5    
   69.9  0.00294  47.4    
   71.6  0.00286  47.7    
   73.4  0.00278  47.2    
   75.2  0.00271  46.4    
   76.9  0.00264  45.4    
   78.6  0.00253  44.9    
   80.4  0.00241  42.6    
   82.2  0.00229  40.8    
   83.9  0.00218  38.3    
   85.6  0.00204  34.6    
   87.4  0.00187  29.6    
   89.1  0.00166  24.2    
   90.9  0.00140  18.4    
   92.7  0.00112  13.7    
   94.5  0.00088  10.0    
   96.2  0.00067   2.1    
   98.0  0.00060 -12.0    
   99.7  0.00066 -18.2    
  101.5  0.00079 -17.2    
  103.2  0.00095 -13.8    
  105.0  0.00110 -12.0    
  106.7  0.00126 -10.5    
  108.5  0.00137  -8.8    
  110.2  0.00150  -6.5    
  112.0  0.00160  -5.8    
  113.8  0.00166  -6.0    
  115.5  0.00176  -6.2
  117.3  0.00186  -8.0
  119.0  0.00198  -9.1
  120.8  0.00212  -9.8
  122.6  0.00219  -9.3
  124.3  0.00230  -9.1
  126.1  0.00240  -7.5
  127.9  0.00246  -5.8
  129.6  0.00248  -3.1
  131.4  0.00251  -0.6
  133.2  0.00251   2.1
  134.9  0.00250   4.7
  136.7  0.00237   6.3
  138.4  0.00222   6.6
  140.2  0.00196   8.2
  141.9  0.00173   6.6
  143.7  0.00154   3.0
  145.5  0.00138   0.6
  147.3  0.00133  -0.4
  149.0  0.00131  -1.4
  150.8  0.00135  -3.8
  152.6  0.00153  -8.6
  154.4  0.00189 -13.6
  156.2  0.00223 -16.9
  158.0  0.00256 -18.6
  159.7  0.00277 -21.3
  161.5  0.00292 -23.2
  163.3  0.00304 -24.3
  165.1  0.00313 -24.9
  166.8  0.00321 -25.0
  168.6  0.00329 -24.3
  170.4  0.00337 -22.9
  172.2  0.00342 -21.0
  174.0  0.00347 -19.4
  175.8  0.00355 -15.0
  177.6  0.00361 -11.6
  179.4  0.00365  -8.2
  181.2  0.00368  -5.6
  183.0  0.00372  -2.5
  184.8  0.00376   0.8
