# CP-F1,   ALPHA= 30 DEG.,  RE= 43 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
100289  -4.7  1  0.0000  0.0756
100289  -4.7  2  0.0006  0.5599
100289  -4.7  3  0.0022  0.8538
100289  -4.7  4  0.0046  0.9728
100289  -4.7  5  0.0074  1.0055
100289  -4.7  6  0.0105  0.9893
100289  -4.7  7  0.0137  0.9664
100289  -4.7  8  0.0172  0.9364
100289  -4.7  9  0.0208  0.9000
100289  -4.7 10  0.0282  0.8417
100289  -4.6 11  0.0358  0.7870
100289  -4.2 12  0.0435  0.7458
100289  -4.4 13  0.0555  0.6827
100289  -4.7 14  0.0674  0.6319
100289  -4.7 15  0.0876  0.5776
100289  -4.7 16  0.1079  0.5337
100289  -4.7 17  0.1284  0.4933
100289  -4.7 18  0.1489  0.4605
100289  -4.7 19  0.1901  0.4209
100289  -4.7 20  0.2315  0.3798
100289  -4.7 21  0.2728  0.3329
100289  -4.7 22  0.3145  0.3115
100289  -4.7 23  0.3561  0.2862
100289  -4.7 24  0.3978  0.2575
100289  -4.7 25  0.4394  0.2302
100289  -4.7 26  0.4811  0.1829
100289  -4.7 27  0.5228  0.1821
100289  -4.3 28  0.5644  0.1656
100289  -4.5 29  0.6061  0.1543
100289  -4.5 30  0.6478  0.1224
100289  -4.7 31  0.6894  0.1111
100289  -4.7 32  0.7309  0.0721
100289  -4.7 33  0.7725  0.0195
100289  -4.7 34  0.8139  0.0120
100289  -4.7 35  0.8346 -0.0002
100289  -4.7 36  0.8552 -0.0194
100289  -4.7 37  0.8758 -0.0399
100289  -4.7 38  0.9166 -0.0582
100289  -4.7 39  0.9365 -0.0823
100289  -4.7 40  0.9544 -0.0355
100289  -4.7 41  0.9717  0.2068
100290   0.3  1  0.0000  0.0799
100290   0.3  2  0.0006  0.5694
100290   0.3  3  0.0022  0.8656
100290   0.3  4  0.0046  0.9839
100290   0.3  5  0.0074  1.0100
100290   0.3  6  0.0105  1.0019
100290   0.3  7  0.0137  0.9691
100290   0.4  8  0.0172  0.9411
100290   0.3  9  0.0208  0.9123
100290   0.3 10  0.0282  0.8530
100290   0.3 11  0.0358  0.7965
100290   0.3 12  0.0435  0.7541
100290   0.3 13  0.0555  0.6934
100290   0.3 14  0.0674  0.6405
100290   0.3 15  0.0876  0.5855
100290   0.3 16  0.1079  0.5433
100290   0.3 17  0.1284  0.5006
100290   0.3 18  0.1489  0.4721
100290   0.3 19  0.1901  0.4193
100290   0.3 20  0.2315  0.3845
100290   0.3 21  0.2728  0.3436
100290   0.3 22  0.3145  0.3162
100290   0.3 23  0.3561  0.2883
100290   0.4 24  0.3978  0.2694
100290   0.4 25  0.4394  0.2389
100290   0.6 26  0.4811  0.1928
100290   0.3 27  0.5228  0.1887
100290   0.3 28  0.5644  0.1739
100290   0.3 29  0.6061  0.1636
100290   0.3 30  0.6478  0.1306
100290   0.3 31  0.6894  0.1149
100290   0.3 32  0.7309  0.0762
100290   0.3 33  0.7725  0.0260
100290   0.3 34  0.8139  0.0194
100290   0.3 35  0.8346  0.0049
100290   0.3 36  0.8552 -0.0069
100290   0.3 37  0.8758 -0.0340
100290   0.3 38  0.9166 -0.0509
100290   0.3 39  0.9365 -0.0776
100290   0.3 40  0.9544 -0.0286
100290   0.3 41  0.9717  0.2095
100291   5.5  1  0.0000  0.0876
100291   5.5  2  0.0006  0.5651
100291   5.5  3  0.0022  0.8601
100291   5.9  4  0.0046  0.9730
100291   5.7  5  0.0074  1.0064
100291   5.4  6  0.0105  0.9884
100291   5.4  7  0.0137  0.9651
100291   5.5  8  0.0172  0.9369
100291   5.5  9  0.0208  0.9017
100291   5.5 10  0.0282  0.8432
100291   5.5 11  0.0358  0.7852
100291   5.5 12  0.0435  0.7420
100291   5.5 13  0.0555  0.6865
100291   5.5 14  0.0674  0.6338
100291   5.5 15  0.0876  0.5759
100291   5.5 16  0.1079  0.5349
100291   5.5 17  0.1284  0.5007
100291   5.5 18  0.1489  0.4661
100291   5.5 19  0.1901  0.4182
100291   5.5 20  0.2315  0.3764
100291   5.5 21  0.2728  0.3389
100291   5.5 22  0.3145  0.3090
100291   5.5 23  0.3561  0.2793
100291   5.5 24  0.3978  0.2582
100291   5.5 25  0.4394  0.2272
100291   5.5 26  0.4811  0.1857
100291   5.5 27  0.5228  0.1835
100291   5.5 28  0.5644  0.1624
100291   5.5 29  0.6061  0.1503
100291   5.5 30  0.6478  0.1253
100291   5.5 31  0.6894  0.1048
100291   5.5 32  0.7309  0.0721
100291   5.5 33  0.7725  0.0168
100291   5.5 34  0.8139  0.0198
100291   5.5 35  0.8346 -0.0050
100291   5.5 36  0.8552 -0.0155
100291   5.5 37  0.8758 -0.0371
100291   5.5 38  0.9166 -0.0537
100291   5.5 39  0.9365 -0.0741
100291   5.5 40  0.9544 -0.0278
100291   5.5 41  0.9717  0.2089
100292  10.6  1  0.0000  0.0837
100292  10.3  2  0.0006  0.5641
100292  10.3  3  0.0022  0.8486
100292  10.3  4  0.0046  0.9589
100292  10.3  5  0.0074  0.9851
100292  10.3  6  0.0105  0.9666
100292  10.3  7  0.0137  0.9441
100292  10.3  8  0.0172  0.9139
100292  10.3  9  0.0208  0.8768
100292  10.3 10  0.0282  0.8210
100292  10.3 11  0.0358  0.7672
100292  10.3 12  0.0435  0.7276
100292  10.3 13  0.0555  0.6610
100292  10.3 14  0.0674  0.6092
100292  10.3 15  0.0876  0.5550
100292  10.3 16  0.1079  0.5135
100292  10.3 17  0.1284  0.4705
100292  10.6 18  0.1489  0.4437
100292  10.3 19  0.1901  0.3986
100292  10.3 20  0.2315  0.3540
100292  10.3 21  0.2728  0.3132
100292  10.3 22  0.3145  0.2833
100292  10.3 23  0.3561  0.2596
100292  10.3 24  0.3978  0.2341
100292  10.3 25  0.4394  0.2010
100292  10.3 26  0.4811  0.1663
100292  10.3 27  0.5228  0.1624
100292  10.3 28  0.5644  0.1448
100292  10.3 29  0.6061  0.1322
100292  10.3 30  0.6478  0.1075
100292  10.3 31  0.6894  0.0896
100292  10.3 32  0.7309  0.0517
100292  10.3 33  0.7725  0.0039
100292  10.3 34  0.8139  0.0023
100292  10.3 35  0.8346 -0.0194
100292  10.3 36  0.8552 -0.0282
100292  10.3 37  0.8758 -0.0503
100292  10.3 38  0.9166 -0.0649
100292  10.3 39  0.9365 -0.0790
100292  10.3 40  0.9544 -0.0320
100292  10.3 41  0.9717  0.2019
100293  15.3  1  0.0000  0.0893
100293  15.3  2  0.0006  0.5528
100293  15.3  3  0.0022  0.8280
100293  15.3  4  0.0046  0.9317
100293  15.3  5  0.0074  0.9499
100293  15.3  6  0.0105  0.9350
100293  15.3  7  0.0137  0.9063
100293  15.3  8  0.0172  0.8755
100293  15.3  9  0.0208  0.8414
100293  15.3 10  0.0282  0.7788
100293  15.3 11  0.0358  0.7295
100293  15.3 12  0.0435  0.6827
100293  15.3 13  0.0555  0.6219
100293  15.3 14  0.0674  0.5681
100293  15.4 15  0.0876  0.5155
100293  15.3 16  0.1079  0.4693
100293  15.3 17  0.1284  0.4323
100293  15.3 18  0.1489  0.4078
100293  15.3 19  0.1901  0.3661
100293  15.3 20  0.2315  0.3150
100293  15.3 21  0.2728  0.2738
100293  15.3 22  0.3145  0.2492
100293  15.3 23  0.3561  0.2249
100293  15.3 24  0.3978  0.2009
100293  15.3 25  0.4394  0.1694
100293  15.3 26  0.4811  0.1273
100293  15.3 27  0.5228  0.1268
100293  15.3 28  0.5644  0.1129
100293  15.3 29  0.6061  0.1019
100293  15.3 30  0.6478  0.0751
100293  15.3 31  0.6894  0.0538
100293  15.3 32  0.7309  0.0268
100293  15.3 33  0.7725 -0.0289
100293  15.3 34  0.8139 -0.0192
100293  15.3 35  0.8346 -0.0387
100293  15.3 36  0.8552 -0.0561
100293  15.3 37  0.8758 -0.0741
100293  15.3 38  0.9166 -0.0799
100293  15.3 39  0.9365 -0.0977
100293  15.3 40  0.9544 -0.0475
100293  15.3 41  0.9717  0.1858
100294  20.3  1  0.0000  0.0870
100294  20.3  2  0.0006  0.5342
100294  20.3  3  0.0022  0.8047
100294  20.3  4  0.0046  0.8931
100294  20.3  5  0.0074  0.9032
