## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1177   Plane 2  x0/2a= 0.527    Ray 8   phi= 150
# h      U/V0    V/V0    W/V0
0.0142  1.019  -0.304   0.025
0.0237  1.028  -0.322   0.116
0.0347  0.990  -0.273   0.264
0.0401  0.961  -0.207   0.341
0.0499  0.898  -0.068   0.480
0.0605  0.776   0.094   0.587
0.1121  0.789   0.308   0.667
0.1210  0.815   0.279   0.652
0.1316  0.814   0.268   0.634
0.1411  0.811   0.244   0.620
0.1612  0.808   0.190   0.592
0.1812  0.801   0.155   0.572
0.2016  0.787   0.129   0.562
0.2216  0.782   0.109   0.558
0.2423  0.779   0.094   0.554
0.2614  0.776   0.080   0.551
0.2781  0.774   0.070   0.549
0.2975  0.788   0.060   0.558
