## F1, Alpha= 30 deg., Re= 40 Mio.
# Mean velocities in flow field
#
# Nomenclature:
# DPN       data point number
# x0/2a     x-location of plane of measurement
# phi       circumferential angle (in degrees)
# h         distance from model surface (in m)
# V0        free stream (reference) velocity
# U,V,W     velocity components in model coordinates
#           U in direction of main axis
#           V normal to U and W
#           W normal to main axis in vertical plane
#
## DPN 1207   Plane 6  x0/2a= 0.7   Ray 7   phi= 155
# h      U/V0    V/V0    W/V0
0.0124  1.017  -0.305  -0.092
0.0223  1.025  -0.346  -0.059
0.0320  1.028  -0.381  -0.020
0.0383  1.029  -0.395   0.009
0.0493  1.025  -0.395   0.083
0.0580  1.026  -0.374   0.187
0.0685  0.999  -0.295   0.329
0.0790  0.962  -0.157   0.472
0.0899  0.923   0.001   0.572
0.0988  0.895   0.142   0.638
0.1099  0.883   0.253   0.679
0.1187  0.808   0.305   0.676
0.1997  0.777   0.289   0.600
0.2206  0.791   0.257   0.554
0.2417  0.788   0.205   0.535
0.2615  0.788   0.160   0.526
0.2811  0.781   0.127   0.524
0.2989  0.775   0.110   0.524
