## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO.  4  ,  X0/2A= 0.309
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -3.0  0.00378  -2.3    
   -0.6  0.00378  -1.0    
    1.8  0.00380  -0.4    
    4.2  0.00384   1.1    
    6.6  0.00386   1.9    
    9.0  0.00391   2.8    
   11.4  0.00396   4.0    
   13.8  0.00398   5.1    
   16.2  0.00399   5.9    
   18.6  0.00400   7.0    
   21.0  0.00405   7.9    
   23.4  0.00413   8.9    
   25.8  0.00411  10.0    
   28.2  0.00416  10.6    
   30.6  0.00420  11.7    
   33.0  0.00422  12.1    
   35.4  0.00423  13.0    
   37.8  0.00423  13.7    
   40.2  0.00429  14.3    
   42.6  0.00428  15.0    
   45.0  0.00443  15.7    
   47.4  0.00450  16.1    
   49.8  0.00446  16.8    
   52.2  0.00447  17.2    
   54.6  0.00449  17.7    
   57.0  0.00448  17.9    
   59.4  0.00453  18.4    
   61.8  0.00453  18.8    
   64.2  0.00452  19.3    
   65.8  0.00452  19.3    
   69.0  0.00452  19.8    
   71.4  0.00447  19.8    
   73.8  0.00446  20.0    
   76.2  0.00446  20.1    
   78.6  0.00445  20.1    
   80.2  0.00440  20.3    
   82.6  0.00445  20.3    
   85.8  0.00444  20.3    
   88.2  0.00437  20.3    
   90.6  0.00441  19.9
   93.0  0.00440  19.8
   95.4  0.00434  19.6
   97.8  0.00433  19.4
  100.2  0.00430  19.2
  102.6  0.00428  18.8
  105.0  0.00422  18.6
  107.4  0.00419  18.1
  109.8  0.00417  17.9
  112.2  0.00413  17.5
  114.6  0.00407  16.9
  117.0  0.00403  16.5
  119.4  0.00399  16.3
  121.8  0.00395  15.5
  124.2  0.00386  14.9
  126.6  0.00384  14.3
  129.0  0.00379  13.5
  131.4  0.00380  13.0
  133.8  0.00372  12.6
  136.2  0.00377  11.9
  138.6  0.00372  11.3
  141.0  0.00372  10.6
  143.4  0.00372  10.2
  145.8  0.00369   9.5
  148.2  0.00370   8.6
  150.6  0.00371   8.0
  153.0  0.00365   7.4
  155.4  0.00366   6.7
  157.8  0.00369   5.3
  159.4  0.00365   4.9
  162.6  0.00372   4.7
  165.0  0.00365   4.1
  167.4  0.00362   3.6
  169.8  0.00363   3.2
  172.2  0.00353   2.4
  174.6  0.00353   1.9
  177.0  0.00353   1.2
  179.4  0.00350   0.6
  181.8  0.00351   0.4
  184.2  0.00347  -0.3
