## NOMENCLATURE:
# PHI      CIRCUMFERENTIAL MODEL ANGLE
# CF       WALL SHEAR STRESS COEFFICIENT (= LOCAL WALL SHEAR STRESS
#                           NORMALIZED WITH FREE STREAM DYNAMIC PRESSURE)
# GAMMA    WALL SHEAR STRESS ANGLE
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL       ARTIFICIAL TRANSITION AT X0/2A= 0.2
# 
#    RUN: 0   3 5                             INCIDENCE  ALPHA= 10.0 DEG.
# 
#    VELOCITY  UINF= 55.0 M/S                 REYNOLDS N0.  RE= 0.770E+07
# 
#    MEASURING STATION:    NO. 12  ,  X0/2A= 0.936
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -3.6  0.00439  -2.9    
   -1.2  0.00438  -2.0    
    1.2  0.00437  -1.2    
    3.6  0.00436  -0.6    
    6.0  0.00438   0.3    
    8.4  0.00441   1.3    
   10.8  0.00435   1.6    
   13.2  0.00438   2.8    
   15.6  0.00435   3.4    
   18.0  0.00434   4.3    
   20.4  0.00428   4.8    
   22.8  0.00425   5.3    
   25.2  0.00426   6.3    
   27.6  0.00420   6.6    
   30.0  0.00430   7.1    
   32.4  0.00428   7.6    
   34.8  0.00420   8.0    
   37.2  0.00413   8.5    
   39.6  0.00407   8.5    
   42.0  0.00398   8.7    
   44.4  0.00395   8.7    
   46.8  0.00386   8.7    
   49.2  0.00375   8.4    
   50.8  0.00366   8.2    
   54.0  0.00357   7.9    
   56.4  0.00342   7.4    
   58.8  0.00334   6.9    
   61.2  0.00320   6.0    
   63.6  0.00310   4.5    
   65.2  0.00293   3.2    
   67.6  0.00285   2.0    
   70.8  0.00269   0.3    
   73.2  0.00250  -1.7    
   75.6  0.00235  -3.4    
   78.0  0.00220  -5.3    
   80.4  0.00199  -7.0    
   82.8  0.00180  -8.5    
   85.2  0.00160 -10.2    
   87.6  0.00140 -10.9    
   90.0  0.00118 -12.0
   92.4  0.00100 -11.9
   94.8  0.00085 -11.2
   97.2  0.00071 -10.5
   99.6  0.00057  -8.8
  102.0  0.00046  -6.5
  104.4  0.00039  -4.4
  106.8  0.00034  -3.1
  109.2  0.00030  -0.7
  111.6  0.00029  -0.1
  114.0  0.00028   0.9
  116.4  0.00028   0.5
  118.8  0.00027   0.8
  121.2  0.00030   0.2
  123.6  0.00032   0.9
  126.0  0.00039   3.1
  128.4  0.00044   5.8
  130.8  0.00052   8.2
  133.2  0.00063   8.8
  135.6  0.00072   7.2
  138.0  0.00088   2.9
  140.4  0.00116  -1.1
  142.8  0.00153  -3.5
  144.4  0.00191  -4.2
  147.6  0.00248  -5.3
  150.0  0.00284  -6.2
  152.4  0.00322  -8.1
  154.8  0.00354  -9.1
  157.2  0.00374 -10.4
  159.6  0.00389 -10.6
  162.0  0.00396 -10.8
  164.4  0.00410 -10.5
  166.8  0.00417  -9.4
  169.2  0.00426  -8.7
  171.6  0.00428  -7.5
  174.0  0.00436  -6.4
  176.4  0.00438  -4.7
  178.8  0.00438  -3.2
  181.2  0.00436  -1.4
  183.6  0.00436  -0.1
