# CP-NWG,  ALPHA= 10 DEG., RE= 7.7 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
410201  -2.4  1  0.0000  0.9020
410201  -2.4  2  0.0006  0.9989
410201  -2.4  3  0.0022  0.9632
410201  -2.4  4  0.0046  0.8615
410201  -2.4  5  0.0074  0.7595
410201  -2.4  6  0.0105  0.6529
410201  -2.4  7  0.0137  0.5914
410201  -2.4  8  0.0172  0.5316
410201  -2.4  9  0.0208  0.4840
410201  -2.4 10  0.0282  0.4063
410201  -2.4 11  0.0358  0.3479
410201  -2.4 12  0.0435  0.3035
410201  -2.4 13  0.0555  0.2470
410201  -2.4 14  0.0674  0.2021
410201  -2.4 15  0.0876  0.1762
410201  -2.4 16  0.1079  0.1434
410201  -2.4 17  0.1284  0.1154
410201  -2.4 18  0.1489  0.0930
410201  -2.4 19  0.1901  0.0712
410201  -2.4 20  0.2315  0.0519
410201  -2.4 21  0.2728  0.0330
410201  -2.4 22  0.3145  0.0119
410201  -2.4 23  0.3561  0.0002
410201  -2.4 24  0.3978 -0.0087
410201  -2.4 25  0.4394 -0.0209
410201  -2.4 26  0.4811 -0.0321
410201  -2.4 27  0.5228 -0.0439
410201  -2.4 28  0.5644 -0.0550
410201  -2.4 29  0.6061 -0.0574
410201  -2.4 30  0.6478 -0.0630
410201  -2.4 31  0.6894 -0.0753
410201  -2.4 32  0.7309 -0.0762
410201  -2.4 33  0.7725 -0.0831
410201  -2.4 34  0.8139 -0.0874
410201  -2.4 35  0.8346 -0.0918
410201  -2.4 36  0.8552 -0.0843
410201  -2.4 37  0.8758 -0.0821
410201  -2.4 38  0.8962 -0.0799
410201  -2.4 39  0.9166 -0.0641
410201  -2.4 40  0.9365 -0.0317
410201  -2.4 41  0.9544  0.0407
410201  -2.4 42  0.9717  0.2139
410202  -0.8  1  0.0000  0.9010
410202  -0.8  2  0.0006  0.9990
410202  -0.8  3  0.0022  0.9640
410202  -0.8  4  0.0046  0.8621
410202  -0.8  5  0.0074  0.7580
410202  -0.8  6  0.0105  0.6541
410202  -0.8  7  0.0137  0.5938
410202  -0.8  8  0.0172  0.5317
410202  -0.8  9  0.0208  0.4877
410202  -0.8 10  0.0282  0.4064
410202  -0.8 11  0.0358  0.3477
410202  -0.8 12  0.0435  0.3028
410202  -0.8 13  0.0555  0.2489
410202  -0.8 14  0.0674  0.2013
410202  -0.8 15  0.0876  0.1766
410202  -0.8 16  0.1079  0.1417
410202  -0.8 17  0.1284  0.1153
410202  -0.8 18  0.1489  0.0936
410202  -0.8 19  0.1901  0.0718
410202  -0.8 20  0.2315  0.0510
410202  -0.8 21  0.2728  0.0330
410202  -0.8 22  0.3145  0.0111
410202  -0.8 23  0.3561  0.0016
410202  -0.8 24  0.3978 -0.0094
410202  -0.8 25  0.4394 -0.0206
410202  -0.8 26  0.4811 -0.0314
410202  -0.8 27  0.5228 -0.0434
410202  -0.8 28  0.5644 -0.0544
410202  -0.8 29  0.6061 -0.0571
410202  -0.8 30  0.6478 -0.0623
410202  -0.8 31  0.6894 -0.0754
410202  -0.8 32  0.7309 -0.0766
410202  -0.8 33  0.7725 -0.0818
410202  -0.8 34  0.8139 -0.0873
410202  -0.8 35  0.8346 -0.0903
410202  -0.8 36  0.8552 -0.0846
410202  -0.8 37  0.8758 -0.0826
410202  -0.8 38  0.8962 -0.0806
410202  -0.8 39  0.9166 -0.0650
410202  -0.8 40  0.9365 -0.0329
410202  -0.8 41  0.9544  0.0394
410202  -0.8 42  0.9717  0.2135
410203   0.0  1  0.0000  0.9017
410203   0.0  2  0.0006  0.9982
410203   0.0  3  0.0022  0.9620
410203   0.0  4  0.0046  0.8604
410203   0.0  5  0.0074  0.7594
410203   0.0  6  0.0105  0.6521
410203   0.0  7  0.0137  0.5913
410203   0.0  8  0.0172  0.5336
410203   0.0  9  0.0208  0.4866
410203   0.0 10  0.0282  0.4060
410203   0.0 11  0.0358  0.3470
410203   0.0 12  0.0435  0.3052
410203   0.0 13  0.0555  0.2484
410203   0.0 14  0.0674  0.2019
410203   0.0 15  0.0876  0.1775
410203   0.0 16  0.1079  0.1435
410203   0.0 17  0.1284  0.1135
410203   0.0 18  0.1489  0.0928
410203   0.0 19  0.1901  0.0701
410203   0.0 20  0.2315  0.0518
410203   0.0 21  0.2728  0.0339
410203   0.0 22  0.3145  0.0115
410203   0.0 23  0.3561  0.0013
410203   0.0 24  0.3978 -0.0088
410203   0.0 25  0.4394 -0.0203
410203   0.0 26  0.4811 -0.0316
410203   0.0 27  0.5228 -0.0418
410203   0.0 28  0.5644 -0.0545
410203   0.0 29  0.6061 -0.0569
410203   0.0 30  0.6478 -0.0619
410203   0.0 31  0.6894 -0.0744
410203   0.0 32  0.7309 -0.0768
410203   0.0 33  0.7725 -0.0809
410203   0.0 34  0.8139 -0.0869
410203   0.0 35  0.8346 -0.0917
410203   0.0 36  0.8552 -0.0840
410203   0.0 37  0.8758 -0.0822
410203   0.0 38  0.8962 -0.0805
410203   0.0 39  0.9166 -0.0641
410203   0.0 40  0.9365 -0.0318
410203   0.0 41  0.9544  0.0404
410203   0.0 42  0.9717  0.2136
410204   0.8  1  0.0000  0.8996
410204   0.8  2  0.0006  0.9982
410204   0.8  3  0.0022  0.9640
410204   0.8  4  0.0046  0.8618
410204   0.8  5  0.0074  0.7580
410204   0.8  6  0.0105  0.6516
410204   0.8  7  0.0137  0.5905
410204   0.8  8  0.0172  0.5319
410204   0.8  9  0.0208  0.4851
410204   0.8 10  0.0282  0.4075
410204   0.8 11  0.0358  0.3492
410204   0.8 12  0.0435  0.3043
410204   0.8 13  0.0555  0.2476
410204   0.8 14  0.0674  0.2008
410204   0.8 15  0.0876  0.1776
410204   0.8 16  0.1079  0.1438
410204   0.8 17  0.1284  0.1159
410204   0.8 18  0.1489  0.0940
410204   0.8 19  0.1901  0.0705
410204   0.8 20  0.2315  0.0511
410204   0.8 21  0.2728  0.0322
410204   0.8 22  0.3145  0.0121
