##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400200                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=   0.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.3 M/S       PATM=   100050.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 302.5 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.634     -0.01     0.631     0.0       35.36
              0.23     0.638     -0.13     0.635     0.0       35.60
              0.24     0.641     -0.20     0.638     0.0       35.78
              0.25     0.645     -0.19     0.642     0.0       36.00
              0.25     0.644     -0.15     0.641     0.0       35.92
              0.27     0.649     -0.06     0.646     0.0       36.25
              0.29     0.657     -0.07     0.654     0.0       36.65
              0.30     0.659     -0.08     0.656     0.0       36.80
              0.33     0.662     -0.06     0.659     0.0       36.94
              0.34     0.668     -0.05     0.665     0.0       37.29
              0.39     0.675     -0.08     0.672     0.0       37.69
              0.43     0.682     -0.16     0.679     0.0       38.08
              0.47     0.691     -0.21     0.688     0.0       38.59
              0.50     0.696     -0.16     0.693     0.0       38.88
              0.60     0.712     -0.11     0.709     0.0       39.77
              0.70     0.726     -0.13     0.723     0.0       40.55
              0.80     0.734     -0.14     0.732     0.0       41.02
              0.90     0.747     -0.09     0.745     0.0       41.78
              1.00     0.756     -0.07     0.754     0.0       42.25
              1.10     0.766     -0.13     0.764     0.0       42.84
              1.20     0.776     -0.10     0.774     0.0       43.40
              1.40     0.792     -0.04     0.790     0.0       44.29
              1.60     0.807     -0.06     0.805     0.0       45.14
              1.80     0.824     -0.10     0.823     0.0       46.12
              2.00     0.834     -0.11     0.832     0.0       46.66
              2.20     0.848     -0.10     0.847     0.0       47.49
              2.70     0.877     -0.06     0.875     0.0       49.09
              3.20     0.900     -0.06     0.899     0.0       50.41
              3.70     0.920     -0.08     0.919     0.0       51.51
              4.20     0.938     -0.17     0.938     0.0       52.57
              4.70     0.956     -0.21     0.956     0.0       53.58
              5.20     0.970     -0.14     0.970     0.0       54.37
              5.70     0.980     -0.09     0.979     0.0       54.91
              6.20     0.988     -0.13     0.988     0.0       55.38
              6.70     0.994     -0.16     0.994     0.0       55.71
              7.20     0.997     -0.15     0.996     0.0       55.87
              7.70     0.998     -0.14     0.998     0.0       55.95
              8.20     1.000     -0.18     1.000     0.0       56.07
