##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400300                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=  30.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  56.0 M/S       PATM=   100000.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 304.6 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.622     11.33     0.607     0.122     35.39
              0.23     0.628     11.12     0.614     0.121     35.76
              0.24     0.629     11.04     0.615     0.120     35.81
              0.25     0.632     10.76     0.618     0.118     35.99
              0.25     0.635     10.59     0.622     0.116     36.18
              0.27     0.639     10.47     0.626     0.116     36.40
              0.29     0.643     10.45     0.629     0.116     36.61
              0.30     0.651     10.31     0.638     0.116     37.09
              0.33     0.656     10.24     0.643     0.116     37.37
              0.34     0.660     10.15     0.647     0.116     37.58
              0.39     0.667     10.00     0.654     0.115     37.99
              0.43     0.674     10.00     0.661     0.117     38.40
              0.47     0.682      9.92     0.669     0.117     38.85
              0.50     0.688      9.86     0.675     0.117     39.18
              0.60     0.704      9.68     0.692     0.118     40.15
              0.70     0.718      9.60     0.705     0.119     40.90
              0.80     0.730      9.47     0.718     0.120     41.64
              0.90     0.742      9.32     0.730     0.120     42.29
              1.00     0.749      9.36     0.737     0.121     42.70
              1.10     0.761      9.19     0.750     0.121     43.42
              1.20     0.771      9.10     0.759     0.122     43.96
              1.40     0.786      9.03     0.774     0.123     44.85
              1.60     0.801      8.93     0.790     0.124     45.72
              1.80     0.813      8.87     0.801     0.125     46.37
              2.00     0.825      8.80     0.814     0.126     47.09
              2.20     0.840      8.71     0.828     0.127     47.92
              2.70     0.866      8.59     0.855     0.129     49.47
              3.20     0.892      8.47     0.881     0.131     50.93
              3.70     0.916      8.37     0.905     0.133     52.30
              4.20     0.932      8.40     0.922     0.136     53.28
              4.70     0.950      8.36     0.940     0.138     54.31
              5.20     0.966      8.33     0.955     0.140     55.22
              5.70     0.977      8.31     0.966     0.141     55.83
              6.20     0.986      8.26     0.976     0.142     56.39
              6.70     0.993      8.27     0.983     0.143     56.78
              7.20     0.998      8.23     0.988     0.143     57.08
              7.70     0.998      8.21     0.987     0.142     57.04
              8.20     1.000      8.14     0.989     0.142     57.16
              8.70     1.000      8.07     0.990     0.140     57.19
