##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 400500                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.48
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=  90.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  56.1 M/S       PATM=    99980.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 307.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.553     19.46     0.519     0.183     32.55
              0.23     0.556     19.49     0.522     0.185     32.74
              0.24     0.559     19.39     0.525     0.185     32.90
              0.25     0.562     19.07     0.529     0.183     33.08
              0.25     0.564     18.78     0.532     0.181     33.24
              0.27     0.569     18.36     0.538     0.179     33.51
              0.29     0.573     18.14     0.543     0.178     33.77
              0.30     0.578     17.93     0.548     0.178     34.08
              0.33     0.582     17.85     0.552     0.178     34.31
              0.34     0.586     17.73     0.556     0.178     34.51
              0.39     0.586     17.85     0.556     0.179     34.54
              0.43     0.597     17.42     0.568     0.178     35.20
              0.47     0.604     17.34     0.575     0.180     35.61
              0.50     0.615     17.01     0.586     0.179     36.24
              0.60     0.627     16.73     0.599     0.180     36.98
              0.70     0.642     16.40     0.614     0.181     37.85
              0.80     0.656     16.21     0.628     0.183     38.67
              0.90     0.669     16.01     0.641     0.184     39.45
              1.00     0.677     15.98     0.649     0.186     39.94
              1.10     0.690     15.79     0.662     0.187     40.67
              1.20     0.699     15.73     0.671     0.189     41.21
              1.40     0.716     15.64     0.688     0.193     42.22
              1.60     0.732     15.49     0.704     0.195     43.21
              1.80     0.742     15.45     0.714     0.197     43.79
              2.00     0.756     15.34     0.728     0.200     44.60
              2.20     0.773     15.21     0.744     0.202     45.60
              2.70     0.803     15.07     0.774     0.208     47.39
              3.20     0.827     14.96     0.798     0.213     48.80
              3.70     0.848     14.91     0.818     0.218     50.05
              4.20     0.871     14.82     0.841     0.222     51.44
              4.70     0.889     14.79     0.859     0.227     52.52
              5.20     0.910     14.66     0.879     0.230     53.72
              5.70     0.926     14.59     0.896     0.233     54.73
              6.20     0.941     14.60     0.910     0.237     55.58
              6.70     0.954     14.63     0.923     0.241     56.39
              7.20     0.968     14.73     0.935     0.246     57.18
              7.70     0.978     14.70     0.946     0.248     57.79
              8.20     0.985     14.73     0.952     0.250     58.19
              8.70     0.993     14.71     0.960     0.252     58.68
              9.20     0.995     14.94     0.961     0.256     58.81
              9.70     0.998     14.99     0.964     0.258     58.97
             10.20     1.000     14.92     0.966     0.257     59.12
