##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404200                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI=   0.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.3 M/S       PATM=    99680.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.4 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.614     -0.13     0.613     0.0       34.53
              0.23     0.620     -0.22     0.618     0.0       34.83
              0.24     0.623     -0.29     0.622     0.0       35.05
              0.24     0.629     -0.37     0.628     0.0       35.38
              0.25     0.631     -0.28     0.630     0.0       35.51
              0.26     0.637     -0.22     0.636     0.0       35.84
              0.28     0.640     -0.19     0.638     0.0       35.97
              0.29     0.646     -0.20     0.645     0.0       36.33
              0.31     0.653     -0.19     0.651     0.0       36.71
              0.34     0.656     -0.19     0.655     0.0       36.89
              0.35     0.662     -0.21     0.661     0.0       37.24
              0.39     0.667     -0.13     0.665     0.0       37.49
              0.44     0.675     -0.06     0.673     0.0       37.94
              0.48     0.683     -0.08     0.682     0.0       38.43
              0.51     0.687     -0.12     0.686     0.0       38.63
              0.61     0.704     -0.06     0.703     0.0       39.61
              0.71     0.716      0.01     0.715     0.0       40.30
              0.81     0.728      0.02     0.727     0.0       40.96
              0.91     0.739      0.00     0.738     0.0       41.58
              1.01     0.750     -0.04     0.749     0.0       42.20
              1.11     0.758     -0.05     0.757     0.0       42.66
              1.21     0.764      0.01     0.763     0.0       42.99
              1.41     0.783      0.08     0.782     0.0       44.06
              1.61     0.796      0.09     0.795     0.0       44.81
              1.81     0.809      0.02     0.808     0.0       45.54
              2.01     0.823     -0.05     0.823     0.0       46.35
              2.21     0.833     -0.04     0.832     0.0       46.87
              2.71     0.859     -0.04     0.858     0.0       48.37
              3.21     0.880     -0.01     0.879     0.0       49.53
              3.71     0.900     -0.05     0.900     0.0       50.70
              4.21     0.920     -0.04     0.919     0.0       51.79
              4.71     0.938     -0.09     0.937     0.0       52.81
              5.21     0.953     -0.06     0.953     0.0       53.69
              5.71     0.966     -0.08     0.966     0.0       54.42
              6.21     0.977     -0.05     0.977     0.0       55.05
              6.71     0.985     -0.11     0.985     0.0       55.49
              7.21     0.992     -0.09     0.992     0.0       55.92
              7.71     0.994     -0.07     0.994     0.0       56.03
              8.21     0.997     -0.06     0.997     0.0       56.17
              8.71     0.999     -0.10     0.999     0.0       56.28
              9.21     0.998     -0.06     0.998     0.0       56.23
              9.71     1.001     -0.08     1.001     0.0       56.40
             10.21     1.000     -0.13     1.000     0.0       56.37
             11.21     0.999     -0.17     0.999     0.0       56.28
             12.21     1.000     -0.16     1.000     0.0       56.33
             13.21     0.998     -0.16     0.998     0.0       56.22
             14.21     0.998     -0.15     0.998     0.0       56.26
             15.21     1.000     -0.14     1.000     0.0       56.36
