##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 404400                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI=  60.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.2 M/S       PATM=    99630.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 315.2 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.567     16.98     0.540     0.165     31.93
              0.23     0.571     16.92     0.545     0.166     32.18
              0.24     0.578     16.70     0.553     0.166     32.60
              0.24     0.582     16.55     0.556     0.165     32.77
              0.25     0.585     16.49     0.559     0.165     32.94
              0.27     0.588     16.50     0.563     0.167     33.15
              0.28     0.594     16.41     0.568     0.167     33.46
              0.29     0.598     16.41     0.572     0.168     33.69
              0.32     0.603     16.38     0.578     0.170     34.01
              0.34     0.608     16.28     0.583     0.170     34.30
              0.35     0.614     16.21     0.588     0.171     34.59
              0.39     0.623     16.14     0.598     0.173     35.14
              0.44     0.632     15.99     0.607     0.174     35.65
              0.48     0.636     16.03     0.610     0.175     35.87
              0.52     0.646     15.89     0.620     0.176     36.41
              0.62     0.661     15.78     0.635     0.179     37.29
              0.72     0.672     15.80     0.645     0.183     37.89
              0.82     0.688     15.66     0.661     0.185     38.78
              0.92     0.699     15.64     0.672     0.188     39.40
              1.02     0.708     15.55     0.681     0.190     39.96
              1.12     0.719     15.45     0.692     0.191     40.56
              1.22     0.728     15.39     0.701     0.193     41.08
              1.42     0.745     15.29     0.718     0.196     42.04
              1.62     0.760     15.30     0.732     0.200     42.89
              1.82     0.773     15.29     0.744     0.203     43.59
              2.02     0.784     15.34     0.755     0.207     44.22
              2.22     0.799     15.15     0.770     0.208     45.07
              2.72     0.826     15.00     0.797     0.214     46.64
              3.22     0.850     14.90     0.820     0.218     47.97
              3.72     0.872     14.89     0.842     0.224     49.21
              4.22     0.893     14.77     0.863     0.227     50.40
              4.72     0.912     14.56     0.882     0.229     51.48
              5.22     0.928     14.49     0.898     0.232     52.39
              5.72     0.943     14.44     0.913     0.235     53.28
              6.22     0.958     14.36     0.928     0.237     54.10
              6.72     0.970     14.17     0.940     0.237     54.76
              7.22     0.978     14.05     0.949     0.237     55.27
              7.72     0.987     13.98     0.958     0.239     55.78
              8.22     0.993     13.94     0.964     0.239     56.10
              8.72     0.997     13.83     0.968     0.238     56.33
              9.22     1.000     13.72     0.971     0.237     56.50
