##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 405500                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 170.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.1 M/S       PATM=    99319.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 311.5 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.489     -2.24     0.487     -.019     27.25
              0.23     0.491     -2.23     0.489     -.019     27.35
              0.24     0.499     -2.17     0.497     -.019     27.81
              0.25     0.501     -2.17     0.499     -.019     27.94
              0.25     0.507     -2.07     0.505     -.018     28.27
              0.27     0.508     -1.90     0.506     -.017     28.32
              0.29     0.517     -1.84     0.515     -.016     28.81
              0.30     0.519     -1.79     0.517     -.016     28.95
              0.33     0.525     -1.71     0.523     -.016     29.28
              0.34     0.528     -1.71     0.526     -.016     29.44
              0.39     0.535     -1.76     0.533     -.016     29.80
              0.43     0.539     -1.77     0.537     -.017     30.04
              0.47     0.543     -1.78     0.541     -.017     30.28
              0.50     0.551     -1.75     0.549     -.017     30.75
              0.60     0.561     -1.68     0.559     -.016     31.27
              0.70     0.571     -1.62     0.569     -.016     31.82
              0.80     0.581     -1.55     0.579     -.016     32.39
              0.90     0.590     -1.48     0.588     -.015     32.89
              1.00     0.594     -1.45     0.593     -.015     33.16
              1.10     0.605     -1.34     0.603     -.014     33.74
              1.20     0.611     -1.37     0.609     -.015     34.06
              1.40     0.622     -1.33     0.620     -.014     34.68
              1.60     0.633     -1.28     0.632     -.014     35.34
              1.80     0.643     -1.18     0.641     -.013     35.86
              2.00     0.654     -1.08     0.653     -.012     36.52
              2.20     0.660     -1.00     0.659     -.011     36.84
              2.70     0.677     -0.88     0.676     -.010     37.79
              3.20     0.696     -0.70     0.694     -.008     38.83
              3.70     0.711     -0.56     0.709     -.007     39.67
              4.20     0.725     -0.36     0.724     -.005     40.48
              4.70     0.739     -0.25     0.738     -.003     41.26
              5.20     0.752     -0.09     0.751     -.001     41.99
              5.70     0.767      0.10     0.765     0.001     42.81
              6.20     0.775      0.33     0.774     0.004     43.28
              6.70     0.788      0.47     0.787     0.006     44.02
              7.20     0.802      0.59     0.801     0.008     44.79
              7.70     0.812      0.76     0.811     0.011     45.38
              8.20     0.820      0.92     0.819     0.013     45.82
              8.70     0.832      0.99     0.831     0.014     46.50
              9.20     0.840      1.10     0.839     0.016     46.94
              9.70     0.851      1.30     0.849     0.019     47.52
             10.20     0.859      1.48     0.858     0.022     48.02
             11.20     0.874      1.77     0.873     0.027     48.83
             12.20     0.887      2.07     0.885     0.032     49.54
             13.20     0.902      2.31     0.901     0.036     50.42
             14.20     0.914      2.49     0.912     0.040     51.06
             15.20     0.926      2.64     0.924     0.043     51.75
             16.20     0.936      2.92     0.934     0.048     52.33
             18.20     0.957      3.27     0.955     0.054     53.50
             20.20     0.973      3.36     0.971     0.057     54.38
             22.20     0.985      3.37     0.983     0.058     55.07
             24.20     0.994      3.42     0.992     0.059     55.58
             26.20     0.999      3.47     0.997     0.060     55.86
             28.20     0.998      3.36     0.997     0.059     55.83
             30.20     0.998      3.28     0.996     0.057     55.82
             35.20     1.000      3.16     0.998     0.055     55.93
