##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 405700                                        DATE: 23.08.1982
# 
#     MEASURING STATION:    X/2A= 0.56
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 180.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.1 M/S       PATM=    99319.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 311.2 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.503     -0.57     0.501     0.0       28.01
              0.24     0.506     -0.48     0.504     0.0       28.16
              0.24     0.510     -0.46     0.507     0.0       28.36
              0.25     0.513     -0.46     0.510     0.0       28.54
              0.26     0.518     -0.44     0.516     0.0       28.83
              0.27     0.523     -0.42     0.521     0.0       29.10
              0.29     0.522     -0.42     0.520     0.0       29.05
              0.30     0.529     -0.40     0.527     0.0       29.44
              0.32     0.535     -0.37     0.533     0.0       29.79
              0.34     0.537     -0.36     0.534     0.0       29.88
              0.36     0.542     -0.34     0.540     0.0       30.17
              0.40     0.548     -0.36     0.546     0.0       30.54
              0.44     0.552     -0.30     0.550     0.0       30.77
              0.49     0.558     -0.29     0.556     0.0       31.07
              0.52     0.565     -0.24     0.563     0.0       31.48
              0.62     0.575     -0.22     0.573     0.0       32.01
              0.72     0.588     -0.23     0.586     0.0       32.75
              0.82     0.595     -0.20     0.593     0.0       33.15
              0.92     0.603     -0.17     0.601     0.0       33.62
              1.02     0.615     -0.18     0.613     0.0       34.27
              1.12     0.619     -0.14     0.617     0.0       34.51
              1.22     0.626     -0.08     0.624     0.0       34.88
              1.42     0.637     -0.02     0.635     0.0       35.49
              1.62     0.647     -0.07     0.645     0.0       36.07
              1.82     0.657     -0.11     0.655     0.0       36.64
              2.02     0.668     -0.07     0.666     0.0       37.23
              2.22     0.676     -0.02     0.674     0.0       37.70
              2.72     0.694     -0.01     0.692     0.0       38.70
              3.22     0.713     -0.01     0.712     0.0       39.79
              3.72     0.730     -0.01     0.728     0.0       40.72
              4.22     0.745      0.01     0.743     0.0       41.54
              4.72     0.759      0.08     0.758     0.0       42.37
              5.22     0.773      0.11     0.771     0.0       43.10
              5.72     0.789      0.09     0.787     0.0       44.01
              6.22     0.801      0.08     0.799     0.0       44.70
              6.72     0.811      0.12     0.809     0.0       45.25
              7.22     0.826      0.11     0.824     0.0       46.09
              7.72     0.837      0.11     0.836     0.0       46.72
              8.22     0.845      0.15     0.843     0.0       47.15
              8.72     0.854      0.16     0.853     0.0       47.71
              9.22     0.865      0.16     0.864     0.0       48.32
              9.72     0.873      0.17     0.872     0.0       48.77
             10.22     0.884      0.18     0.883     0.0       49.34
             11.22     0.896      0.17     0.896     0.0       50.07
             12.22     0.914      0.23     0.913     0.0       51.06
             13.22     0.928      0.25     0.927     0.0       51.83
             14.22     0.939      0.26     0.938     0.0       52.45
             15.22     0.947      0.22     0.947     0.0       52.94
             16.22     0.960      0.25     0.959     0.0       53.63
             18.22     0.975      0.29     0.974     0.0       54.48
             20.22     0.985      0.30     0.984     0.0       55.03
             22.22     0.995      0.29     0.995     0.0       55.61
             24.22     0.998      0.30     0.998     0.0       55.80
             26.22     1.000      0.27     1.000     0.0       55.91
