##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 124600                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.64
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 160.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    98910.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.442     -3.96     0.440     -.030     24.28
              0.23     0.448     -3.86     0.446     -.030     24.61
              0.24     0.450     -3.87     0.448     -.030     24.70
              0.25     0.454     -3.86     0.452     -.030     24.95
              0.26     0.458     -4.05     0.455     -.032     25.14
              0.27     0.460     -4.12     0.457     -.033     25.23
              0.29     0.465     -4.13     0.462     -.033     25.53
              0.31     0.472     -4.06     0.470     -.033     25.93
              0.33     0.475     -4.10     0.473     -.034     26.10
              0.34     0.481     -4.04     0.479     -.034     26.43
              0.39     0.487     -4.00     0.485     -.034     26.75
              0.43     0.491     -4.04     0.488     -.034     26.94
              0.47     0.496     -4.11     0.493     -.035     27.23
              0.51     0.500     -4.13     0.498     -.036     27.47
              0.61     0.510     -4.06     0.507     -.036     28.01
              0.71     0.521     -3.98     0.518     -.036     28.59
              0.81     0.529     -3.91     0.527     -.036     29.07
              0.91     0.536     -3.83     0.533     -.036     29.42
              1.01     0.541     -3.80     0.538     -.036     29.71
              1.11     0.550     -3.72     0.547     -.036     30.20
              1.21     0.553     -3.71     0.551     -.036     30.39
              1.41     0.565     -3.62     0.562     -.036     31.02
              1.61     0.577     -3.54     0.575     -.036     31.70
              1.81     0.584     -3.47     0.582     -.035     32.09
              2.01     0.593     -3.33     0.590     -.034     32.57
              2.21     0.600     -3.25     0.598     -.034     32.98
              2.71     0.616     -3.03     0.614     -.032     33.87
              3.21     0.632     -2.76     0.630     -.030     34.72
              3.71     0.646     -2.51     0.644     -.028     35.52
              4.21     0.661     -2.24     0.659     -.026     36.33
              4.71     0.675     -2.01     0.673     -.024     37.09
              5.21     0.687     -1.73     0.685     -.021     37.75
              5.71     0.695     -1.54     0.694     -.019     38.23
              6.21     0.705     -1.27     0.704     -.016     38.77
              6.71     0.715     -0.95     0.714     -.012     39.32
              7.21     0.726     -0.55     0.724     -.007     39.90
              7.71     0.731     -0.28     0.730     -.004     40.20
              8.21     0.742      0.03     0.741     0.000     40.83
              8.71     0.751      0.29     0.750     0.004     41.31
              9.21     0.760      0.61     0.759     0.008     41.78
              9.71     0.763      0.88     0.762     0.012     41.95
             10.21     0.770      1.17     0.769     0.016     42.35
             11.21     0.789      1.74     0.788     0.024     43.41
             12.21     0.797      2.37     0.795     0.033     43.83
             13.21     0.812      2.92     0.810     0.041     44.64
             14.21     0.824      3.46     0.821     0.050     45.31
             15.21     0.834      3.98     0.831     0.058     45.88
             16.21     0.848      4.43     0.845     0.066     46.68
             18.21     0.867      5.40     0.862     0.081     47.69
             20.21     0.888      6.20     0.882     0.096     48.88
             22.21     0.914      6.82     0.907     0.109     50.29
             24.21     0.936      7.31     0.928     0.119     51.54
             26.21     0.953      7.74     0.944     0.128     52.45
             28.21     0.967      8.02     0.958     0.135     53.27
             30.21     0.982      8.01     0.972     0.137     54.05
             35.21     0.998      7.81     0.988     0.136     54.94
             40.21     0.999      7.57     0.991     0.132     55.03
             45.21     1.000      7.28     0.992     0.127     55.07
