##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125200                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=   0.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99830.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 307.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.597     -0.43     0.592     0.0       33.24
              0.23     0.599     -0.41     0.595     0.0       33.39
              0.24     0.601     -0.40     0.597     0.0       33.50
              0.25     0.605     -0.44     0.601     0.0       33.71
              0.25     0.609     -0.40     0.605     0.0       33.97
              0.27     0.611     -0.33     0.608     0.0       34.09
              0.29     0.620     -0.36     0.616     0.0       34.57
              0.30     0.625     -0.37     0.622     0.0       34.89
              0.33     0.629     -0.30     0.626     0.0       35.11
              0.34     0.637     -0.31     0.634     0.0       35.55
              0.39     0.645     -0.33     0.642     0.0       36.02
              0.43     0.653     -0.42     0.650     0.0       36.48
              0.47     0.662     -0.37     0.659     0.0       36.95
              0.50     0.666     -0.35     0.663     0.0       37.21
              0.60     0.684     -0.35     0.681     0.0       38.20
              0.70     0.697     -0.34     0.694     0.0       38.94
              0.80     0.708     -0.34     0.705     0.0       39.55
              0.90     0.719     -0.35     0.717     0.0       40.20
              1.00     0.729     -0.41     0.727     0.0       40.77
              1.10     0.737     -0.32     0.735     0.0       41.23
              1.20     0.749     -0.26     0.746     0.0       41.87
              1.40     0.763     -0.31     0.761     0.0       42.70
              1.60     0.778     -0.34     0.776     0.0       43.51
              1.80     0.790     -0.37     0.788     0.0       44.19
              2.00     0.800     -0.38     0.798     0.0       44.79
              2.20     0.812     -0.39     0.810     0.0       45.46
              2.70     0.837     -0.42     0.835     0.0       46.87
              3.20     0.859     -0.37     0.857     0.0       48.07
              3.70     0.882     -0.36     0.880     0.0       49.38
              4.20     0.900     -0.33     0.898     0.0       50.38
              4.70     0.915     -0.38     0.914     0.0       51.27
              5.20     0.933     -0.39     0.932     0.0       52.26
              5.70     0.947     -0.36     0.946     0.0       53.09
              6.20     0.958     -0.36     0.957     0.0       53.69
              6.70     0.967     -0.37     0.967     0.0       54.23
              7.20     0.978     -0.38     0.977     0.0       54.83
              7.70     0.985     -0.32     0.985     0.0       55.25
              8.20     0.991     -0.35     0.990     0.0       55.56
              8.70     0.995     -0.39     0.994     0.0       55.78
              9.20     0.998     -0.39     0.997     0.0       55.95
              9.70     0.999     -0.37     0.998     0.0       56.02
             10.20     0.999     -0.37     0.999     0.0       56.05
             11.20     0.999     -0.40     0.999     0.0       56.06
             12.20     1.000     -0.43     1.000     0.0       56.10
