##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125300                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI=  29.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99860.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 309.3 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.581     10.49     0.568     0.105     32.48
              0.23     0.582     10.49     0.570     0.105     32.55
              0.24     0.587     10.38     0.574     0.105     32.81
              0.24     0.591     10.30     0.579     0.105     33.06
              0.25     0.593     10.29     0.580     0.105     33.14
              0.26     0.597     10.15     0.585     0.105     33.40
              0.28     0.600     10.10     0.588     0.105     33.58
              0.29     0.609      9.94     0.597     0.105     34.08
              0.31     0.616      9.90     0.604     0.105     34.45
              0.34     0.621      9.89     0.610     0.106     34.78
              0.35     0.626      9.93     0.614     0.107     35.02
              0.39     0.636      9.87     0.625     0.109     35.62
              0.44     0.644      9.83     0.632     0.110     36.03
              0.48     0.652      9.66     0.641     0.109     36.51
              0.51     0.657      9.65     0.645     0.110     36.76
              0.61     0.674      9.44     0.662     0.110     37.73
              0.71     0.687      9.33     0.676     0.111     38.49
              0.81     0.700      9.20     0.689     0.112     39.21
              0.91     0.711      9.15     0.700     0.113     39.83
              1.01     0.722      9.08     0.711     0.114     40.44
              1.11     0.729      9.13     0.718     0.115     40.85
              1.21     0.738      9.07     0.726     0.116     41.34
              1.41     0.754      8.97     0.743     0.117     42.25
              1.61     0.770      8.91     0.758     0.119     43.12
              1.81     0.783      8.88     0.771     0.120     43.87
              2.01     0.794      8.82     0.782     0.121     44.49
              2.21     0.804      8.79     0.793     0.123     45.10
              2.71     0.831      8.64     0.820     0.125     46.60
              3.21     0.854      8.54     0.843     0.127     47.93
              3.71     0.873      8.48     0.862     0.129     48.98
              4.21     0.892      8.42     0.881     0.130     50.04
              4.71     0.909      8.31     0.899     0.131     51.04
              5.21     0.923      8.25     0.913     0.132     51.84
              5.71     0.939      8.17     0.929     0.133     52.73
              6.21     0.951      8.13     0.941     0.134     53.40
              6.71     0.963      8.08     0.953     0.135     54.08
              7.21     0.973      8.06     0.963     0.136     54.66
              7.71     0.982      8.04     0.972     0.137     55.16
              8.21     0.988      7.95     0.978     0.137     55.47
              8.71     0.991      7.87     0.981     0.136     55.64
              9.21     0.994      7.83     0.985     0.135     55.84
              9.71     0.998      7.83     0.989     0.136     56.09
             10.21     0.999      7.81     0.989     0.136     56.11
             11.21     0.999      7.77     0.990     0.135     56.15
             12.21     1.000      7.72     0.991     0.134     56.19
