##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125400                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI=  60.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99880.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 310.5 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.542     17.39     0.515     0.161     30.18
              0.23     0.546     17.28     0.520     0.162     30.43
              0.24     0.551     17.13     0.525     0.162     30.70
              0.25     0.554     17.02     0.528     0.162     30.89
              0.25     0.561     16.78     0.535     0.161     31.25
              0.27     0.565     16.66     0.539     0.161     31.49
              0.29     0.571     16.52     0.546     0.162     31.84
              0.30     0.578     16.35     0.553     0.162     32.21
              0.33     0.583     16.30     0.557     0.163     32.48
              0.34     0.590     16.16     0.565     0.164     32.87
              0.39     0.600     15.94     0.575     0.164     33.44
              0.43     0.600     16.00     0.575     0.165     33.47
              0.47     0.603     15.98     0.578     0.166     33.65
              0.50     0.612     15.81     0.587     0.166     34.13
              0.60     0.629     15.59     0.604     0.169     35.08
              0.70     0.645     15.36     0.620     0.170     35.97
              0.80     0.658     15.22     0.633     0.172     36.70
              0.90     0.671     15.06     0.646     0.174     37.42
              1.00     0.680     15.01     0.655     0.176     37.93
              1.10     0.690     14.90     0.665     0.177     38.49
              1.20     0.700     14.81     0.675     0.178     39.05
              1.40     0.714     14.80     0.689     0.182     39.87
              1.60     0.730     14.68     0.705     0.185     40.76
              1.80     0.744     14.57     0.718     0.187     41.51
              2.00     0.755     14.55     0.730     0.189     42.16
              2.20     0.770     14.42     0.744     0.191     42.98
              2.70     0.795     14.28     0.769     0.196     44.38
              3.20     0.818     14.16     0.793     0.200     45.72
              3.70     0.842     14.03     0.816     0.204     47.03
              4.20     0.861     13.99     0.835     0.208     48.12
              4.70     0.878     13.89     0.852     0.211     49.07
              5.20     0.896     13.76     0.870     0.213     50.09
              5.70     0.913     13.66     0.886     0.215     51.00
              6.20     0.927     13.60     0.900     0.218     51.80
              6.70     0.938     13.60     0.911     0.220     52.44
              7.20     0.952     13.53     0.925     0.223     53.22
              7.70     0.961     13.52     0.934     0.225     53.75
              8.20     0.969     13.54     0.942     0.227     54.20
              8.70     0.977     13.53     0.950     0.229     54.66
              9.20     0.984     13.56     0.957     0.231     55.04
              9.70     0.990     13.57     0.963     0.232     55.38
             10.20     0.994     13.63     0.966     0.234     55.61
             11.20     0.998     13.67     0.970     0.236     55.82
             12.20     1.000     13.67     0.972     0.236     55.93
