##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 125900                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 129.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=    99989.9 PA
# 
#     FREE STREAM TEMPERATURE TO= 312.8 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.372     -0.68     0.371     -.004     20.11
              0.23     0.374     -0.68     0.373     -.004     20.22
              0.24     0.378     -0.66     0.377     -.004     20.44
              0.24     0.379     -0.65     0.377     -.004     20.48
              0.25     0.383     -0.70     0.382     -.005     20.70
              0.27     0.384     -0.72     0.383     -.005     20.76
              0.28     0.388     -0.68     0.386     -.005     20.96
              0.29     0.394     -0.53     0.393     -.004     21.30
              0.32     0.399     -0.53     0.398     -.004     21.59
              0.34     0.402     -0.53     0.401     -.004     21.75
              0.35     0.407     -0.54     0.405     -.004     21.99
              0.39     0.413     -0.47     0.411     -.003     22.32
              0.44     0.419     -0.49     0.417     -.004     22.63
              0.48     0.423     -0.40     0.421     -.003     22.85
              0.52     0.428     -0.28     0.426     -.002     23.12
              0.62     0.438     -0.20     0.437     -.001     23.70
              0.72     0.444     -0.08     0.443     -.001     24.01
              0.82     0.455     -0.01     0.454     -.000     24.62
              0.92     0.460      0.24     0.458     0.002     24.87
              1.02     0.470      0.34     0.469     0.003     25.43
              1.12     0.473      0.41     0.471     0.003     25.57
              1.22     0.478      0.53     0.476     0.004     25.84
              1.42     0.490      0.60     0.489     0.005     26.51
              1.62     0.496      0.94     0.494     0.008     26.80
              1.82     0.510      1.12     0.508     0.010     27.57
              2.02     0.514      1.39     0.512     0.012     27.79
              2.22     0.522      1.51     0.520     0.014     28.22
              2.72     0.537      1.99     0.536     0.019     29.09
              3.22     0.552      2.59     0.551     0.025     29.90
              3.72     0.573      3.09     0.571     0.031     31.01
              4.22     0.584      3.76     0.582     0.038     31.63
              4.72     0.602      4.21     0.599     0.044     32.56
              5.22     0.611      4.81     0.607     0.051     33.05
              5.72     0.627      5.26     0.623     0.057     33.93
              6.22     0.639      5.89     0.635     0.065     34.61
              6.72     0.653      6.25     0.648     0.071     35.35
              7.22     0.663      6.81     0.657     0.078     35.89
              7.72     0.680      7.16     0.674     0.085     36.85
              8.22     0.688      7.74     0.681     0.093     37.27
              8.72     0.701      7.97     0.693     0.097     37.96
              9.22     0.710      8.49     0.702     0.105     38.48
              9.72     0.724      8.80     0.715     0.111     39.23
             10.22     0.734      9.21     0.724     0.117     39.77
             11.22     0.758      9.75     0.746     0.128     41.07
             12.22     0.777     10.50     0.763     0.141     42.08
             13.22     0.802     11.03     0.787     0.153     43.47
             14.22     0.823     11.53     0.806     0.164     44.62
             15.22     0.843     11.93     0.824     0.174     45.69
             16.22     0.861     12.20     0.841     0.182     46.68
             18.22     0.893     12.82     0.870     0.198     48.42
             20.22     0.927     13.14     0.903     0.211     50.28
             22.22     0.954     13.38     0.928     0.221     51.73
             24.22     0.975     13.41     0.948     0.226     52.88
             26.22     0.990     13.37     0.963     0.229     53.68
             28.22     0.997     13.25     0.971     0.229     54.11
             30.22     1.000     13.16     0.974     0.228     54.25
