##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 126300                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA=  9.9 DEG.    CIRC. ANGLE  PHI= 149.6 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=   100000.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.5 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.377     -8.70     0.371     -.057     20.39
              0.23     0.373     -8.81     0.367     -.057     20.15
              0.24     0.375     -8.65     0.370     -.056     20.30
              0.24     0.378     -8.60     0.373     -.056     20.45
              0.25     0.380     -8.63     0.374     -.057     20.56
              0.27     0.385     -8.31     0.380     -.055     20.84
              0.28     0.384     -8.52     0.378     -.057     20.75
              0.29     0.397     -7.99     0.392     -.055     21.48
              0.32     0.399     -8.08     0.394     -.056     21.58
              0.34     0.404     -8.04     0.399     -.056     21.84
              0.35     0.411     -7.98     0.406     -.057     22.25
              0.39     0.419     -7.93     0.413     -.058     22.65
              0.44     0.423     -7.82     0.417     -.057     22.87
              0.48     0.425     -7.86     0.420     -.058     22.99
              0.52     0.433     -7.69     0.428     -.058     23.42
              0.62     0.442     -7.80     0.436     -.060     23.91
              0.72     0.454     -7.55     0.449     -.059     24.58
              0.82     0.459     -7.57     0.453     -.060     24.82
              0.92     0.468     -7.35     0.463     -.060     25.35
              1.02     0.472     -7.43     0.467     -.061     25.57
              1.12     0.479     -7.41     0.474     -.062     25.94
              1.22     0.488     -7.32     0.482     -.062     26.40
              1.42     0.497     -7.17     0.492     -.062     26.93
              1.62     0.502     -7.18     0.497     -.063     27.17
              1.82     0.515     -6.94     0.510     -.062     27.88
              2.02     0.518     -6.99     0.513     -.063     28.02
              2.22     0.526     -6.79     0.521     -.062     28.49
              2.72     0.541     -6.57     0.537     -.062     29.32
              3.22     0.558     -6.28     0.553     -.061     30.22
              3.72     0.569     -6.13     0.564     -.061     30.80
              4.22     0.581     -5.78     0.577     -.058     31.47
              4.72     0.590     -5.49     0.586     -.056     31.93
              5.22     0.596     -5.18     0.592     -.054     32.26
              5.72     0.605     -4.93     0.601     -.052     32.75
              6.22     0.614     -4.50     0.611     -.048     33.27
              6.72     0.617     -4.10     0.614     -.044     33.41
              7.22     0.625     -3.78     0.622     -.041     33.85
              7.72     0.636     -3.51     0.634     -.039     34.48
              8.22     0.637     -3.25     0.635     -.036     34.50
              8.72     0.645     -2.75     0.643     -.031     34.94
              9.22     0.647     -2.38     0.646     -.027     35.07
              9.72     0.653     -2.06     0.652     -.023     35.40
             10.22     0.657     -1.68     0.655     -.019     35.57
             11.22     0.669     -0.85     0.668     -.010     36.24
             12.22     0.674     -0.09     0.673     -.001     36.51
             13.22     0.681      0.68     0.680     0.008     36.90
             14.22     0.689      1.49     0.688     0.018     37.36
             15.22     0.701      2.24     0.700     0.027     38.00
             16.22     0.713      2.92     0.711     0.036     38.63
             18.22     0.732      4.33     0.729     0.055     39.70
             20.22     0.752      5.63     0.748     0.074     40.78
             22.22     0.777      6.83     0.771     0.092     42.13
             24.22     0.807      7.82     0.799     0.110     43.76
             26.22     0.836      8.72     0.826     0.127     45.35
             28.22     0.862      9.41     0.850     0.141     46.77
             30.22     0.883     10.10     0.869     0.155     47.91
             35.22     0.944     10.73     0.928     0.176     51.24
             40.22     0.986     10.64     0.969     0.182     53.53
             45.22     0.998     10.35     0.982     0.179     54.17
             50.22     1.000      9.94     0.985     0.173     54.27
