##     BOUNDARY LAYER MEASUREMENT
#
#     MODEL: PROLATE SPHEROID 1:6, L =2.4 M
#     ARTIFICIAL TRANSITION AT X/2A = 0.2
#
#
# NOMENCLATURE:
# Z        DISTANCE FROM MODEL SURFACE (WALL NORMAL)
# UR       RESULTANT VELOCITY
# GAMMA    CROSS FLOW ANGLE
# U        LONGITUDINAL VELOCITY COMPONENT
# V        CIRCUMFERENTIAL VELOCITY COMPONENT
# URE      UR AT BOUNDARY LAYER EDGE
#
##     RUN: 126600                                        DATE:  6.10.  81
# 
#     MEASURING STATION:    X/2A= 0.73
# 
#     ANGLE OF INCIDENCE   ALPHA= 10.0 DEG.    CIRC. ANGLE  PHI= 180.0 DEG.
# 
#     FREE STREAM VELOCITY  UINF=  55.0 M/S       PATM=   100030.0 PA
# 
#     FREE STREAM TEMPERATURE TO= 314.1 K
# 
# 
#              Z      UR/URE     GAMMA     U/URE     V/URE      UR
#             (MM)      (-)      (DEG.)     (-)       (-)      (M/S)
              0.22     0.502     -0.55     0.500     0.0       26.86
              0.22     0.503     -0.54     0.501     0.0       26.93
              0.23     0.506     -0.57     0.504     0.0       27.10
              0.24     0.509     -0.63     0.507     0.0       27.25
              0.24     0.515     -0.71     0.513     0.0       27.56
              0.25     0.520     -0.77     0.518     0.0       27.83
              0.26     0.521     -0.76     0.519     0.0       27.87
              0.28     0.525     -0.73     0.523     0.0       28.11
              0.29     0.531     -0.80     0.529     0.0       28.42
              0.31     0.542     -0.79     0.540     0.0       29.01
              0.34     0.542     -0.65     0.540     0.0       29.02
              0.35     0.548     -0.61     0.546     0.0       29.33
              0.39     0.556     -0.63     0.554     0.0       29.75
              0.44     0.561     -0.58     0.559     0.0       30.03
              0.48     0.566     -0.55     0.564     0.0       30.29
              0.51     0.570     -0.58     0.569     0.0       30.56
              0.61     0.584     -0.55     0.583     0.0       31.30
              0.71     0.596     -0.56     0.594     0.0       31.93
              0.81     0.604     -0.59     0.603     0.0       32.38
              0.91     0.614     -0.55     0.613     0.0       32.93
              1.01     0.624     -0.49     0.622     0.0       33.43
              1.11     0.627     -0.53     0.626     0.0       33.61
              1.21     0.637     -0.56     0.635     0.0       34.13
              1.41     0.653     -0.52     0.651     0.0       35.00
              1.61     0.664     -0.50     0.663     0.0       35.61
              1.81     0.675     -0.49     0.674     0.0       36.19
              2.01     0.682     -0.40     0.681     0.0       36.56
              2.21     0.694     -0.36     0.692     0.0       37.19
              2.71     0.714     -0.31     0.712     0.0       38.25
              3.21     0.731     -0.30     0.730     0.0       39.22
              3.71     0.747     -0.28     0.746     0.0       40.08
              4.21     0.763     -0.30     0.762     0.0       40.95
              4.71     0.776     -0.30     0.775     0.0       41.62
              5.21     0.793     -0.26     0.792     0.0       42.55
              5.71     0.800     -0.26     0.799     0.0       42.93
              6.21     0.814     -0.22     0.813     0.0       43.65
              6.71     0.829     -0.24     0.828     0.0       44.46
              7.21     0.835     -0.20     0.834     0.0       44.78
              7.71     0.847     -0.25     0.846     0.0       45.46
              8.21     0.855     -0.24     0.855     0.0       45.90
              8.71     0.866     -0.23     0.865     0.0       46.45
              9.21     0.872     -0.15     0.872     0.0       46.82
              9.71     0.881     -0.14     0.880     0.0       47.28
             10.21     0.888     -0.15     0.888     0.0       47.69
             11.21     0.905     -0.12     0.904     0.0       48.58
             12.21     0.918     -0.05     0.918     0.0       49.29
             13.21     0.926      0.00     0.926     0.0       49.72
             14.21     0.932      0.03     0.932     0.0       50.06
             15.21     0.945      0.05     0.945     0.0       50.74
             16.21     0.953      0.06     0.953     0.0       51.17
             18.21     0.965      0.14     0.965     0.0       51.81
             20.21     0.972      0.24     0.971     0.0       52.18
             22.21     0.983      0.32     0.982     0.0       52.77
             24.21     0.987      0.38     0.987     0.0       53.02
             26.21     0.992      0.39     0.992     0.0       53.27
             28.21     0.997      0.46     0.997     0.0       53.55
             30.21     1.000      0.55     1.000     0.0       53.72
