## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO.  9  ,  X0/2A= 0.738
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -4.8  0.00164  -9.7    
   -3.2  0.00167  -6.7    
   -1.6  0.00169  -4.2    
    0.0  0.00171  -1.4    
    1.6  0.00172   1.5    
    3.2  0.00173   3.9    
    3.2  0.00173   3.9    
    4.8  0.00175   6.9    
    6.4  0.00176   9.3    
    8.0  0.00177  12.0    
    9.6  0.00174  14.2    
   11.2  0.00178  16.6    
   12.8  0.00177  19.0    
   14.4  0.00178  21.5    
   16.0  0.00179  23.7    
   17.6  0.00179  25.6    
   19.2  0.00177  27.9    
   20.8  0.00181  30.2    
   22.4  0.00180  32.2    
   24.0  0.00181  34.0    
   25.6  0.00181  35.7    
   27.2  0.00178  37.8    
   28.8  0.00181  39.7    
   30.4  0.00179  40.9    
   32.0  0.00179  42.6    
   33.6  0.00181  43.8    
   35.2  0.00179  45.5    
   36.8  0.00183  46.2    
   38.4  0.00182  47.3    
   40.0  0.00185  48.7    
   41.6  0.00187  49.5    
   43.2  0.00190  50.0    
   44.8  0.00195  50.2    
   46.4  0.00198  50.0    
   48.0  0.00207  49.2    
   49.6  0.00225  46.7    
   51.2  0.00266  42.8    
   52.8  0.00321  39.7    
   54.4  0.00376  39.3    
   56.0  0.00437  39.5    
   57.6  0.00489  39.8    
   59.2  0.00534  41.8    
   60.8  0.00557  42.3    
   62.4  0.00582  43.1    
   64.0  0.00592  44.0    
   65.6  0.00585  44.1    
   67.2  0.00581  44.1    
   68.8  0.00573  44.4    
   70.4  0.00554  44.5    
   72.0  0.00549  44.4    
   73.6  0.00538  44.4    
   75.2  0.00532  44.6    
   76.8  0.00524  44.1    
   78.4  0.00518  43.8    
   80.0  0.00505  43.8    
   81.6  0.00497  43.4    
   83.2  0.00485  42.9    
   84.8  0.00479  42.6    
   86.4  0.00468  41.6    
   88.0  0.00461  41.0    
   89.6  0.00444  39.6    
   91.2  0.00433  38.2    
   92.8  0.00420  37.0    
   94.4  0.00404  34.7    
   96.0  0.00390  32.5    
   97.6  0.00370  30.0    
   99.2  0.00346  26.3    
  100.8  0.00324  22.3    
  102.4  0.00293  17.6    
  104.0  0.00258  13.1    
  105.6  0.00228  10.0    
  107.2  0.00188   6.3    
  108.8  0.00144   2.3    
  110.4  0.00126  -5.1    
  112.0  0.00130 -12.1    
  113.6  0.00152 -12.8    
  115.2  0.00176 -10.2    
  116.8  0.00195  -8.8    
  118.4  0.00209  -6.7    
  120.0  0.00222  -4.1    
  121.6  0.00223  -3.5
  123.2  0.00231  -4.0
  124.8  0.00238  -6.5
  126.4  0.00259  -8.0
  128.0  0.00275  -9.1
  129.6  0.00291  -9.7
  131.2  0.00304  -9.7
  132.8  0.00316  -8.9
  134.4  0.00326  -6.8
  136.0  0.00337  -3.4
  137.6  0.00346   0.1
  139.2  0.00348   3.8
  140.8  0.00349   7.4
  142.4  0.00345   9.4
  144.0  0.00326   9.8
  145.6  0.00292   8.7
  147.2  0.00260   6.5
  148.8  0.00236   2.4
  150.4  0.00227   1.3
  152.0  0.00238  -0.5
  153.6  0.00268  -5.1
  155.2  0.00327  -7.4
  156.8  0.00397  -9.4
  159.2  0.00447 -12.6
  160.0  0.00470 -15.6
  161.6  0.00481 -17.6
  163.2  0.00494 -19.0
  164.8  0.00495 -19.7
  166.4  0.00507 -20.3
  168.0  0.00513 -19.7
  170.4  0.00524 -17.9
  171.2  0.00528 -15.7
  172.8  0.00540 -13.4
  174.4  0.00546 -11.5
  176.0  0.00555  -8.7
  177.6  0.00564  -6.0
  177.6  0.00561  -5.7
  179.2  0.00574  -2.6
  180.8  0.00583   0.9
  182.4  0.00591   3.7
  184.0  0.00591   6.9
