## Nomenclature:
# PHI      Circumferential model angle
# CF       Wall shear stress coefficient (= local wall shear stress
#                       normalized with free stream dynamic pressure)
# GAMMA    Wall shear stress angle
# 
# 
##                D F V L R   RESEARCH CENTER   A V A   GOETTINGEN
# 
#            WALL SHEAR STRESS MEASUREMENTS ON A 1:6 PROLATE SPHEROID
# 
#    3MX3M LOW SPEED WIND TUNNEL              NATURAL TRANSITION
# 
#    RUN: 5 104 7                             INCIDENCE  ALPHA= 29.7 DEG.
# 
#    VELOCITY  UINF= 45.0 M/S                 REYNOLDS N0.  RE= 0.654E+07
# 
#    MEASURING STATION:    NO. 12  ,  X0/2A= 0.936
# 
#   PHI     CF    GAMMA
#  (DEG)    --    (DEG)
   -3.6  0.00190  -8.1    
   -2.0  0.00191  -5.2    
   -0.4  0.00191  -3.3    
    1.2  0.00191  -0.6    
    2.8  0.00190   2.4    
    4.4  0.00192   4.2    
    6.0  0.00191   7.0    
    7.6  0.00189   9.2    
    9.2  0.00187  12.1    
   10.8  0.00187  14.3    
   12.4  0.00184  16.8    
   14.0  0.00183  18.8    
   15.6  0.00179  22.0    
   17.2  0.00180  24.2    
   18.8  0.00174  26.8    
   20.4  0.00173  28.9    
   22.0  0.00173  31.4    
   23.6  0.00170  33.5    
   25.2  0.00171  35.7    
   26.8  0.00167  37.7    
   28.4  0.00163  40.2    
   30.0  0.00162  41.9    
   31.6  0.00158  43.5    
   33.2  0.00157  45.9    
   34.8  0.00152  47.0    
   36.4  0.00150  48.9    
   38.0  0.00149  50.2    
   39.6  0.00149  50.7    
   41.2  0.00148  50.6    
   42.8  0.00144  50.8    
   44.4  0.00142  50.5    
   46.0  0.00137  50.4    
   47.6  0.00135  50.4    
   49.2  0.00131  50.9    
   50.8  0.00127  50.3    
   52.4  0.00123  50.2    
   54.0  0.00120  49.8    
   55.6  0.00114  49.6    
   57.2  0.00110  49.6    
   58.8  0.00105  48.8    
   60.4  0.00100  48.9    
   62.0  0.00096  48.3    
   63.6  0.00090  47.4    
   65.2  0.00123  42.5    
   66.8  0.00201  37.6    
   69.2  0.00338  36.1    
   70.0  0.00290  33.1    
   71.6  0.00266  28.3    
   73.2  0.00326  27.7    
   74.8  0.00441  30.5    
   76.4  0.00432  26.5    
   78.0  0.00425  25.3    
   80.4  0.00432  26.6    
   81.2  0.00418  25.0    
   82.8  0.00406  22.8    
   84.4  0.00379  20.4    
   86.0  0.00340  16.9    
   87.6  0.00293  13.5    
   87.6  0.00278  12.8    
   89.2  0.00226  11.2    
   90.8  0.00170  11.9    
   92.4  0.00128  13.4    
   94.0  0.00088  13.1    
   95.6  0.00070   9.5    
   97.2  0.00052  -0.6    
   98.8  0.00044 -11.2    
  100.4  0.00043 -14.8    
  102.0  0.00045 -15.6    
  103.6  0.00048 -12.8    
  105.2  0.00052  -9.8    
  106.8  0.00058  -5.0    
  108.4  0.00060  -1.8    
  110.0  0.00063   1.2    
  111.6  0.00064   3.8    
  113.2  0.00064   6.0    
  114.8  0.00068   6.0    
  116.4  0.00072   5.6    
  118.0  0.00078   3.9    
  119.6  0.00084   3.8    
  121.2  0.00091   2.7    
  122.8  0.00104   2.4
  124.4  0.00112   2.1
  126.0  0.00123   2.6
  127.6  0.00130   3.3
  127.6  0.00133   3.3
  129.2  0.00144   3.3
  130.8  0.00150   4.2
  132.4  0.00156   4.6
  134.0  0.00161   5.7
  135.6  0.00163   5.7
  137.2  0.00164   7.1
  138.8  0.00158   6.9
  140.4  0.00155   7.8
  142.0  0.00149   9.0
  143.6  0.00138   9.9
  145.2  0.00130  10.4
  146.8  0.00121  11.1
  148.4  0.00108  11.1
  150.0  0.00103  10.9
  151.6  0.00104  11.1
  153.2  0.00107   9.3
  154.8  0.00113   6.1
  156.4  0.00121   3.1
  158.0  0.00139   0.2
  160.4  0.00168  -3.8
  161.2  0.00211  -6.5
  162.8  0.00247  -5.6
  164.4  0.00293  -5.5
  166.0  0.00318  -4.6
  167.6  0.00343  -4.1
  169.2  0.00366  -4.6
  170.8  0.00378  -4.5
  172.4  0.00386  -3.6
  174.0  0.00403  -3.0
  175.6  0.00402  -3.5
  177.2  0.00405  -4.3
  178.8  0.00417  -1.3
  180.4  0.00408  -2.3
  182.0  0.00403  -1.6
  183.6  0.00401  -2.1
