# CP-NWG,  ALPHA= 29.7 DEG., RE= 6.5 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
200402  -4.8  1  0.0000  0.1193
200402  -4.8  2  0.0006  0.5652
200402  -4.8  3  0.0022  0.8452
200402  -4.8  4  0.0046  0.9648
200402  -4.8  5  0.0074  0.9931
200402  -4.8  6  0.0105  0.9574
200402  -4.8  7  0.0137  0.9545
200402  -4.8  8  0.0172  0.9245
200402  -4.8  9  0.0208  0.8909
200402  -4.8 10  0.0282  0.8340
200402  -4.8 11  0.0358  0.7818
200402  -4.8 12  0.0435  0.7357
200402  -4.8 13  0.0555  0.6793
200402  -4.8 14  0.0674  0.6299
200402  -4.8 15  0.0876  0.5784
200402  -4.8 16  0.1079  0.5321
200402  -4.8 17  0.1284  0.4970
200402  -4.8 18  0.1489  0.4622
200402  -4.8 19  0.1901  0.4134
200402  -4.8 20  0.2315  0.3712
200402  -4.8 21  0.2728  0.3350
200402  -4.8 22  0.3145  0.3059
200402  -4.8 23  0.3561  0.2773
200402  -4.8 24  0.3978  0.2523
200402  -4.8 25  0.4396  0.2292
200402  -4.8 26  0.4812  0.2067
200402  -4.8 27  0.5229  0.1852
200402  -4.8 28  0.5646  0.1604
200402  -4.8 29  0.6062  0.1396
200402  -4.8 30  0.6479  0.1162
200402  -4.8 31  0.6892  0.0919
200402  -4.8 32  0.7308  0.0673
200402  -4.8 33  0.7725  0.0405
200402  -4.8 34  0.8137  0.0125
200402  -4.8 35  0.8346 -0.0032
200402  -4.8 36  0.8554 -0.0153
200402  -4.8 37  0.8758 -0.0329
200402  -4.8 38  0.8962 -0.0499
200402  -4.8 39  0.9167 -0.0683
200402  -4.8 40  0.9367 -0.0713
200402  -4.8 41  0.9542 -0.0336
200402  -4.8 42  0.9717  0.1750
200403  -1.6  1  0.0000  0.1215
200403  -1.6  2  0.0006  0.5621
200403  -1.6  3  0.0022  0.8522
200403  -1.6  4  0.0046  0.9698
200403  -1.6  5  0.0074  0.9985
200403  -1.6  6  0.0105  0.9622
200403  -1.6  7  0.0137  0.9599
200403  -1.6  8  0.0172  0.9301
200403  -1.6  9  0.0208  0.8979
200403  -1.6 10  0.0282  0.8384
200403  -1.6 11  0.0358  0.7888
200403  -1.6 12  0.0435  0.7423
200403  -1.6 13  0.0555  0.6865
200403  -1.6 14  0.0674  0.6355
200403  -1.6 15  0.0876  0.5889
200403  -1.6 16  0.1079  0.5395
200403  -1.6 17  0.1284  0.5028
200403  -1.6 18  0.1489  0.4691
200403  -1.6 19  0.1901  0.4169
200403  -1.6 20  0.2315  0.3766
200403  -1.6 21  0.2728  0.3421
200403  -1.6 22  0.3145  0.3108
200403  -1.6 23  0.3561  0.2811
200403  -1.6 24  0.3978  0.2581
200403  -1.6 25  0.4396  0.2343
200403  -1.6 26  0.4812  0.2114
200403  -1.6 27  0.5229  0.1868
200403  -1.6 28  0.5646  0.1640
200403  -1.6 29  0.6062  0.1432
200403  -1.6 30  0.6479  0.1209
200403  -1.6 31  0.6892  0.0958
200403  -1.6 32  0.7308  0.0701
200403  -1.6 33  0.7725  0.0441
200403  -1.6 34  0.8137  0.0166
200403  -1.6 35  0.8346  0.0012
200403  -1.6 36  0.8554 -0.0127
200403  -1.6 37  0.8758 -0.0286
200403  -1.6 38  0.8962 -0.0476
200403  -1.6 39  0.9167 -0.0661
200403  -1.6 40  0.9367 -0.0695
200403  -1.6 41  0.9542 -0.0326
200403  -1.6 42  0.9717  0.1774
200404  -0.8  1  0.0000  0.1081
200404  -0.8  2  0.0006  0.5653
200404  -0.8  3  0.0022  0.8486
200404  -0.8  4  0.0046  0.9693
200404  -0.8  5  0.0074  0.9977
200404  -0.8  6  0.0105  0.9607
200404  -0.8  7  0.0137  0.9597
200404  -0.8  8  0.0172  0.9298
200404  -0.8  9  0.0208  0.9000
200404  -0.8 10  0.0282  0.8396
200404  -0.8 11  0.0358  0.7888
200404  -0.8 12  0.0435  0.7467
200404  -0.8 13  0.0555  0.6852
200404  -0.8 14  0.0674  0.6368
200404  -0.8 15  0.0876  0.5852
200404  -0.8 16  0.1079  0.5422
200404  -0.8 17  0.1284  0.5008
200404  -0.8 18  0.1489  0.4681
200404  -0.8 19  0.1901  0.4196
200404  -0.8 20  0.2315  0.3763
200404  -0.8 21  0.2728  0.3423
200404  -0.8 22  0.3145  0.3101
200404  -0.8 23  0.3561  0.2814
200404  -0.8 24  0.3978  0.2577
200404  -0.8 25  0.4396  0.2340
200404  -0.8 26  0.4812  0.2113
200404  -0.8 27  0.5229  0.1882
200404  -0.8 28  0.5646  0.1646
200404  -0.8 29  0.6062  0.1424
200404  -0.8 30  0.6479  0.1208
200404  -0.8 31  0.6892  0.0940
200404  -0.8 32  0.7308  0.0712
200404  -0.8 33  0.7725  0.0454
200404  -0.8 34  0.8137  0.0176
200404  -0.8 35  0.8346  0.0002
200404  -0.8 36  0.8554 -0.0125
200404  -0.8 37  0.8758 -0.0298
200404  -0.8 38  0.8962 -0.0489
200404  -0.8 39  0.9167 -0.0666
200404  -0.8 40  0.9367 -0.0706
200404  -0.8 41  0.9542 -0.0319
200404  -0.8 42  0.9717  0.1768
200405   0.0  1  0.0000  0.1106
200405   0.0  2  0.0006  0.5629
200405   0.0  3  0.0022  0.8546
200405   0.0  4  0.0046  0.9696
200405   0.0  5  0.0074  0.9979
200405   0.0  6  0.0105  0.9615
200405   0.0  7  0.0137  0.9631
200405   0.0  8  0.0172  0.9307
200405   0.0  9  0.0208  0.9021
200405   0.0 10  0.0282  0.8378
200405   0.0 11  0.0358  0.7892
200405   0.0 12  0.0435  0.7450
200405   0.0 13  0.0555  0.6860
200405   0.0 14  0.0674  0.6327
200405   0.0 15  0.0876  0.5865
200405   0.0 16  0.1079  0.5391
200405   0.0 17  0.1284  0.5008
200405   0.0 18  0.1489  0.4673
200405   0.0 19  0.1901  0.4190
200405   0.0 20  0.2315  0.3767
200405   0.0 21  0.2728  0.3412
200405   0.0 22  0.3145  0.3095
200405   0.0 23  0.3561  0.2837
200405   0.0 24  0.3978  0.2593
200405   0.0 25  0.4396  0.2347
200405   0.0 26  0.4812  0.2105
200405   0.0 27  0.5229  0.1868
200405   0.0 28  0.5646  0.1658
200405   0.0 29  0.6062  0.1444
200405   0.0 30  0.6479  0.1202
200405   0.0 31  0.6892  0.0966
200405   0.0 32  0.7308  0.0705
200405   0.0 33  0.7725  0.0445
200405   0.0 34  0.8137  0.0165
200405   0.0 35  0.8346  0.0009
200405   0.0 36  0.8554 -0.0135
200405   0.0 37  0.8758 -0.0299
200405   0.0 38  0.8962 -0.0495
200405   0.0 39  0.9167 -0.0692
200405   0.0 40  0.9367 -0.0699
200405   0.0 41  0.9542 -0.0330
200405   0.0 42  0.9717  0.1762
200406   0.8  1  0.0000  0.1143
200406   0.8  2  0.0006  0.5690
200406   0.8  3  0.0022  0.8478
200406   0.8  4  0.0046  0.9687
200406   0.8  5  0.0074  0.9971
200406   0.8  6  0.0105  0.9612
200406   0.8  7  0.0137  0.9595
200406   0.8  8  0.0172  0.9301
200406   0.8  9  0.0208  0.9002
200406   0.8 10  0.0282  0.8384
200406   0.8 11  0.0358  0.7895
200406   0.8 12  0.0435  0.7426
200406   0.8 13  0.0555  0.6838
200406   0.8 14  0.0674  0.6333
200406   0.8 15  0.0876  0.5845
200406   0.8 16  0.1079  0.5367
200406   0.8 17  0.1284  0.5014
200406   0.8 18  0.1489  0.4682
200406   0.8 19  0.1901  0.4180
200406   0.8 20  0.2315  0.3759
200406   0.8 21  0.2728  0.3412
200406   0.8 22  0.3145  0.3074
200406   0.8 23  0.3561  0.2824
200406   0.8 24  0.3978  0.2569
200406   0.8 25  0.4396  0.2354
200406   0.8 26  0.4812  0.2106
200406   0.8 27  0.5229  0.1852
200406   0.8 28  0.5646  0.1640
200406   0.8 29  0.6062  0.1438
200406   0.8 30  0.6479  0.1198
200406   0.8 31  0.6892  0.0940
200406   0.8 32  0.7308  0.0699
200406   0.8 33  0.7725  0.0447
200406   0.8 34  0.8137  0.0169
200406   0.8 35  0.8346 -0.0019
200406   0.8 36  0.8554 -0.0150
200406   0.8 37  0.8758 -0.0296
200406   0.8 38  0.8962 -0.0500
200406   0.8 39  0.9167 -0.0678
200406   0.8 40  0.9367 -0.0701
200406   0.8 41  0.9542 -0.0341
200406   0.8 42  0.9717  0.1762
200407   1.6  1  0.0000  0.1134
200407   1.6  2  0.0006  0.5681
200407   1.6  3  0.0022  0.8487
200407   1.6  4  0.0046  0.9680
200407   1.6  5  0.0074  0.9971
200407   1.6  6  0.0105  0.9592
200407   1.6  7  0.0137  0.9609
200407   1.6  8  0.0172  0.9296
200407   1.6  9  0.0208  0.8969
200407   1.6 10  0.0282  0.8398
200407   1.6 11  0.0358  0.7873
200407   1.6 12  0.0435  0.7421
200407   1.6 13  0.0555  0.6832
200407   1.6 14  0.0674  0.6354
200407   1.6 15  0.0876  0.5827
200407   1.6 16  0.1079  0.5384
200407   1.6 17  0.1284  0.5016
