## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  214    X0/2A= 0.5272    PHI= 180.0    RE= 6.36E06
#
#    X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
    65.1   -0.1 -209.5    9.8 -1.031 -0.020  0.060 45.2 1212.5  -79.1
    65.3   -0.1 -214.5   14.8 -1.025 -0.020  0.087 45.2 1204.7  -73.3
    65.2   -0.1 -219.5   19.8 -1.019 -0.024  0.101 45.3 1196.8  -64.9
    65.2   -0.1 -224.4   24.7 -1.016 -0.020  0.112 45.3 1190.2  -59.7
    65.4   -0.1 -229.5   29.8 -1.011 -0.017  0.120 45.2 1179.4  -47.0
    65.4   -0.1 -234.4   34.7 -1.007 -0.019  0.118 45.2 1167.8  -36.4
    65.5   -0.1 -239.4   39.7 -1.005 -0.017  0.111 45.2 1160.3  -33.6
    65.6   -0.1 -249.4   49.7 -0.997 -0.013  0.094 45.1 1133.8   -8.6
    65.7   -0.1 -259.5   59.8 -0.987 -0.010  0.070 45.2 1113.1   14.4
    65.8   -0.1 -269.5   69.8 -0.977 -0.012  0.037 45.2 1087.4   43.4
    65.9   -0.1 -279.5   79.8 -0.969 -0.013 -0.001 45.1 1062.8   59.5
    66.1   -0.1 -289.5   89.8 -0.962 -0.012 -0.033 45.2 1051.8   77.5
    66.2   -0.1 -299.5   99.8 -0.954 -0.013 -0.070 45.1 1038.4   86.3
    66.3   -0.1 -309.5  109.8 -0.948 -0.017 -0.101 45.2 1032.6   96.8
    66.4   -0.1 -319.5  119.8 -0.945 -0.012 -0.133 45.3 1041.1   92.7
    66.5   -0.1 -329.5  129.8 -0.941 -0.014 -0.158 45.2 1033.8   96.6
    66.6   -0.1 -339.5  139.8 -0.936 -0.013 -0.184 45.2 1034.2   91.9
    66.9   -0.1 -359.5  159.8 -0.928 -0.017 -0.227 45.1 1033.4   89.7
    67.1   -0.1 -379.5  179.8 -0.922 -0.016 -0.262 45.2 1047.5   83.4
    67.3   -0.1 -399.5  199.8 -0.916 -0.015 -0.293 45.2 1054.9   73.7
    67.6   -0.1 -419.5  219.8 -0.915 -0.018 -0.313 45.2 1063.2   66.9
    67.8   -0.1 -439.6  239.9 -0.909 -0.020 -0.333 45.1 1061.2   60.1
    68.0   -0.1 -459.5  259.8 -0.906 -0.015 -0.354 45.1 1071.9   53.1
    68.3   -0.1 -479.5  279.8 -0.902 -0.017 -0.366 45.1 1072.9   48.1
    68.5   -0.1 -499.6  299.9 -0.900 -0.018 -0.378 45.2 1085.4   45.5
    68.7   -0.1 -519.5  319.8 -0.898 -0.018 -0.390 45.1 1086.4   39.5
    68.9   -0.1 -539.6  339.9 -0.896 -0.020 -0.396 45.2 1090.9   37.5
