## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  159    X0/2A= 0.5701    PHI=   0.0    RE= 6.26E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   167.8    0.0  208.3   10.3 -0.941  0.024 -0.009 45.1  998.5  124.5
   167.9    0.0  213.3   15.3 -0.939  0.007 -0.042 45.2  999.0  128.2
   168.1    0.0  218.3   20.3 -0.935 -0.003 -0.071 45.2  993.1  133.9
   168.2    0.0  223.3   25.3 -0.931 -0.005 -0.093 45.1  986.8  138.5
   168.3    0.0  228.3   30.3 -0.928 -0.007 -0.111 45.2  988.5  140.0
   168.3    0.0  233.4   35.4 -0.925 -0.011 -0.125 45.2  987.6  150.9
   168.4    0.0  238.4   40.4 -0.924 -0.012 -0.140 45.1  983.8  149.8
   168.7    0.0  248.3   50.3 -0.921 -0.011 -0.173 45.2  993.2  136.5
   168.8    0.0  258.3   60.3 -0.917 -0.012 -0.198 45.2  993.5  136.5
   169.1    0.0  268.3   70.3 -0.915 -0.015 -0.218 45.2  999.3  129.8
   169.3    0.0  278.3   80.3 -0.916 -0.016 -0.233 45.2 1007.2  129.9
   169.6    0.0  288.3   90.3 -0.914 -0.014 -0.254 45.2 1015.1  114.6
   169.7    0.0  298.3  100.3 -0.909 -0.017 -0.271 45.2 1016.3  115.2
   170.0    0.0  308.2  110.2 -0.910 -0.018 -0.284 45.1 1022.3  106.1
   170.2    0.0  318.3  120.3 -0.909 -0.020 -0.293 45.1 1027.0  108.9
   170.5    0.0  328.2  130.2 -0.906 -0.017 -0.310 45.1 1031.0   96.2
   170.6    0.0  338.2  140.2 -0.905 -0.018 -0.320 45.1 1037.3   91.2
   171.1    0.0  358.2  160.2 -0.906 -0.022 -0.334 45.2 1051.2   86.6
   171.6    0.0  378.2  180.2 -0.899 -0.020 -0.356 45.2 1056.1   74.0
   172.2    0.0  398.2  200.2 -0.900 -0.025 -0.362 45.1 1057.2   73.7
   172.6    0.0  418.1  220.1 -0.896 -0.021 -0.381 45.1 1066.1   59.6
   172.9    0.0  438.2  240.2 -0.897 -0.024 -0.387 45.1 1071.3   60.3
   173.4    0.0  458.2  260.2 -0.895 -0.022 -0.397 45.1 1077.0   48.6
   173.8    0.0  478.2  280.2 -0.894 -0.028 -0.401 45.1 1081.4   53.0
   174.3    0.0  498.2  300.2 -0.892 -0.023 -0.411 45.1 1083.3   40.7
   174.7    0.0  518.2  320.2 -0.892 -0.027 -0.414 45.1 1086.5   44.7
   175.2    0.0  538.1  340.1 -0.889 -0.026 -0.423 45.1 1088.2   35.3
