## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  219    X0/2A= 0.6136    PHI=  90.1    RE= 6.38E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   272.7  204.7   -0.6    9.9 -0.875  0.004 -0.844 45.2 1674.5 -540.0
   272.8  209.8   -0.5   15.0 -0.880  0.004 -0.825 45.2 1647.3 -504.1
   273.0  214.8   -0.6   20.0 -0.881  0.005 -0.812 45.2 1626.0 -489.8
   273.2  219.7   -0.6   24.9 -0.881  0.003 -0.798 45.2 1600.3 -463.6
   273.4  224.8   -0.6   30.0 -0.882  0.001 -0.784 45.2 1582.0 -439.9
   273.5  229.8   -0.5   35.0 -0.882 -0.002 -0.772 45.2 1556.9 -419.5
   273.7  234.7   -0.6   39.9 -0.884 -0.004 -0.758 45.2 1536.9 -397.5
   274.1  244.7   -0.6   50.0 -0.882 -0.008 -0.740 45.1 1498.6 -363.8
   274.6  254.8   -0.6   60.1 -0.885 -0.010 -0.719 45.2 1475.4 -337.2
   274.8  264.8   -0.6   70.1 -0.884 -0.013 -0.705 45.2 1451.8 -311.5
   275.3  274.7   -0.6   80.0 -0.882 -0.014 -0.692 45.2 1424.4 -285.9
   275.7  284.8   -0.6   90.1 -0.884 -0.017 -0.677 45.3 1411.9 -267.0
   276.2  294.7   -0.7  100.0 -0.884 -0.020 -0.664 45.2 1388.7 -242.1
   276.6  304.8   -0.7  110.1 -0.886 -0.021 -0.653 45.2 1373.7 -227.3
   276.9  314.8   -0.6  120.1 -0.886 -0.021 -0.642 45.2 1361.6 -215.2
   277.3  324.7   -0.6  130.0 -0.884 -0.019 -0.637 45.2 1351.1 -208.0
   277.8  334.7   -0.7  140.0 -0.882 -0.020 -0.630 45.4 1344.9 -195.5
   278.5  354.7   -0.6  160.0 -0.883 -0.020 -0.615 45.3 1320.2 -175.9
   279.2  374.8   -0.6  180.2 -0.883 -0.022 -0.600 45.2 1297.0 -152.4
   279.9  394.7   -0.6  200.1 -0.881 -0.021 -0.588 45.3 1280.4 -139.1
   280.8  414.7   -0.6  220.1 -0.881 -0.021 -0.583 45.2 1268.4 -126.5
   281.5  434.6   -0.6  240.0 -0.879 -0.020 -0.576 45.2 1253.8 -117.5
   282.2  454.6   -0.6  260.0 -0.880 -0.016 -0.570 45.3 1255.6 -112.3
   283.0  474.7   -0.5  280.1 -0.881 -0.021 -0.559 45.2 1240.0  -93.9
   283.7  494.5   -0.5  299.9 -0.879 -0.021 -0.556 45.3 1237.2  -93.1
   284.6  514.6   -0.5  320.1 -0.878 -0.021 -0.552 45.3 1225.4  -83.5
   285.3  534.5   -0.6  340.0 -0.877 -0.024 -0.546 45.3 1220.8  -72.5
