## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  113    X0/2A= 0.6571    PHI= 155.0    RE= 6.46E06
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   377.5   84.4 -181.2   10.0 -1.015 -0.402  0.096 46.2 1417.6 -229.4
   377.8   86.5 -185.6   14.9 -1.010 -0.425  0.084 46.1 1421.0 -240.5
   378.0   88.6 -190.1   19.9 -1.009 -0.453  0.067 46.2 1447.5 -267.9
   378.2   90.7 -194.6   24.9 -1.003 -0.489  0.046 46.2 1475.1 -314.8
   378.5   92.8 -199.1   29.8 -0.993 -0.504  0.017 46.2 1463.7 -398.1
   378.9   94.9 -203.7   34.9 -0.985 -0.503 -0.008 46.2 1440.2 -440.6
   379.1   97.0 -208.1   39.8 -0.997 -0.454 -0.077 46.2 1419.8 -511.8
   379.6  101.2 -217.2   49.8 -1.026 -0.340 -0.183 46.3 1419.0 -610.4
   380.2  105.5 -226.3   59.9 -1.017 -0.185 -0.318 46.2 1375.7 -623.6
   380.7  109.7 -235.2   69.7 -1.022 -0.002 -0.480 46.2 1495.9 -717.1
   381.3  113.9 -244.3   79.8 -1.004  0.157 -0.604 46.1 1635.5 -803.9
   381.8  118.2 -253.3   89.8 -0.943  0.259 -0.659 46.2 1636.2 -733.7
   382.4  122.4 -262.4   99.8 -0.881  0.394 -0.627 46.2 1556.5 -551.5
   382.9  126.7 -271.4  109.8 -0.866  0.414 -0.584 46.2 1487.6 -415.5
   383.5  130.9 -280.5  119.8 -0.861  0.404 -0.567 46.2 1449.6 -337.7
   384.1  135.1 -289.6  129.9 -0.865  0.392 -0.529 46.1 1391.7 -233.4
   384.6  139.3 -298.5  139.7 -0.868  0.368 -0.494 46.1 1333.0 -151.4
   385.7  147.7 -316.7  159.8 -0.866  0.350 -0.448 46.1 1266.2  -37.8
   387.0  156.2 -334.8  179.8 -0.869  0.279 -0.434 46.2 1208.2  -15.2
   388.1  164.7 -352.9  199.9 -0.883  0.219 -0.419 46.2 1187.0   -9.0
   389.1  173.1 -371.0  219.9 -0.890  0.182 -0.418 46.2 1186.2   -0.9
   390.2  181.6 -389.0  239.8 -0.891  0.154 -0.419 46.1 1171.5    1.8
   391.5  190.0 -407.2  259.9 -0.890  0.134 -0.425 46.3 1177.2    4.4
   392.6  198.4 -425.3  279.9 -0.890  0.115 -0.423 46.1 1162.7    7.0
   393.7  206.9 -443.4  299.9 -0.891  0.101 -0.425 46.2 1166.9    8.0
   394.8  215.4 -461.5  319.9 -0.892  0.089 -0.429 46.2 1166.3   10.5
   396.1  223.8 -479.6  339.9 -0.889  0.080 -0.433 46.2 1163.8    4.7
