## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN:  271    X0/2A= 0.7856    PHI= 175.0    RE= 6.24E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   686.7   15.1 -172.8    9.4 -1.027 -0.113  0.227 45.1 1251.7 -136.4
   687.2   15.5 -177.6   14.2 -1.016 -0.134  0.265 44.9 1247.6 -135.5
   687.9   16.0 -182.6   19.3 -1.010 -0.144  0.296 45.0 1259.6 -149.0
   688.3   16.3 -187.5   24.2 -1.006 -0.137  0.326 44.9 1262.7 -158.6
   689.0   16.8 -192.4   29.2 -0.999 -0.142  0.358 45.0 1275.5 -163.3
   689.6   17.2 -197.4   34.2 -0.995 -0.149  0.390 44.8 1286.9 -192.0
   690.2   17.6 -202.5   39.4 -0.989 -0.158  0.424 44.8 1305.3 -216.6
   691.4   18.6 -212.3   49.3 -0.976 -0.152  0.492 44.9 1351.7 -273.9
   692.5   19.4 -222.1   59.2 -0.967 -0.140  0.545 44.9 1389.3 -322.7
   693.6   20.3 -232.1   69.3 -0.960 -0.113  0.590 44.9 1421.1 -371.3
   694.9   21.1 -242.0   79.3 -0.957 -0.084  0.617 45.0 1450.5 -405.8
   696.0   22.0 -251.9   89.3 -0.965 -0.030  0.638 44.9 1482.6 -444.8
   697.1   22.9 -261.8   99.3 -0.975  0.027  0.636 44.9 1499.7 -488.0
   698.4   23.8 -271.7  109.3 -0.976  0.057  0.602 45.0 1463.7 -437.0
   699.6   24.7 -281.6  119.4 -0.968  0.068  0.558 45.0 1392.5 -356.7
   700.7   25.6 -291.5  129.4 -0.966  0.124  0.483 45.0 1313.0 -267.4
   701.8   26.4 -301.3  139.3 -0.955  0.145  0.416 45.0 1231.2 -173.4
   704.2   28.1 -321.1  159.3 -0.932  0.175  0.256 45.0 1075.3   -5.8
   706.4   29.8 -340.9  179.3 -0.913  0.153  0.119 45.0  972.2  118.5
   708.9   31.6 -360.7  199.3 -0.899  0.142  0.010 45.0  927.7  176.6
   711.3   33.3 -380.5  219.3 -0.891  0.110 -0.081 45.0  909.8  204.3
   713.5   35.0 -400.3  239.3 -0.885  0.089 -0.151 45.0  912.4  200.9
   715.9   36.7 -420.1  259.3 -0.882  0.067 -0.204 45.0  922.1  191.2
   718.2   38.5 -439.8  279.2 -0.883  0.052 -0.243 45.1  944.0  173.8
   720.6   40.3 -459.7  299.4 -0.883  0.033 -0.274 45.0  959.6  163.2
   722.8   41.9 -479.4  319.3 -0.881  0.026 -0.302 45.0  969.8  144.7
   725.1   43.7 -499.1  339.2 -0.880  0.022 -0.324 45.0  983.2  130.1
