## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN: 3163    X0/2A= 0.8758    PHI=  60.0    RE= 6.63E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
   903.8  122.7   70.9   10.0 -0.891 -0.224 -0.702 45.4 1570.5 -389.0
   904.9  127.0   73.3   15.0 -0.878 -0.207 -0.701 45.4 1532.7 -352.5
   905.8  131.2   75.8   20.0 -0.869 -0.190 -0.686 45.2 1475.2 -301.5
   906.8  135.4   78.2   24.9 -0.872 -0.182 -0.674 45.2 1457.9 -282.3
   907.7  139.7   80.7   30.0 -0.874 -0.173 -0.656 45.4 1439.2 -256.2
   908.6  144.0   83.1   35.0 -0.865 -0.159 -0.653 45.3 1404.9 -229.4
   909.5  148.2   85.6   39.9 -0.864 -0.152 -0.641 45.3 1382.3 -208.2
   911.4  156.7   90.5   49.9 -0.858 -0.136 -0.627 45.3 1347.1 -169.9
   913.2  165.2   95.4   59.9 -0.859 -0.126 -0.609 45.3 1323.7 -144.6
   915.1  173.8  100.4   70.0 -0.858 -0.120 -0.602 45.3 1309.5 -129.4
   916.9  182.2  105.2   79.9 -0.859 -0.114 -0.588 45.4 1291.1 -108.7
   918.8  190.7  110.2   89.9 -0.861 -0.108 -0.580 45.2 1272.6  -96.9
   920.7  199.2  115.1   99.9 -0.858 -0.103 -0.577 45.2 1264.0  -86.7
   922.5  207.7  120.1  109.9 -0.859 -0.098 -0.569 45.3 1258.2  -75.1
   924.4  216.2  125.0  119.9 -0.862 -0.095 -0.560 45.3 1248.3  -67.9
   926.2  224.7  129.9  129.9 -0.850 -0.090 -0.568 45.4 1243.6  -58.0
   928.1  233.2  134.8  139.9 -0.853 -0.089 -0.562 45.3 1236.3  -54.4
   931.8  250.3  144.6  160.0 -0.851 -0.079 -0.559 45.3 1221.9  -47.0
   935.5  267.3  154.4  179.9 -0.851 -0.074 -0.549 45.1 1196.9  -35.1
   939.2  284.3  164.3  199.9 -0.855 -0.069 -0.544 45.3 1211.1  -34.5
   942.9  301.3  174.1  219.9 -0.849 -0.068 -0.548 45.3 1203.8  -25.7
   946.7  318.4  184.0  240.0 -0.853 -0.062 -0.542 45.3 1205.2  -26.3
   950.3  335.4  193.8  260.0 -0.853 -0.060 -0.539 45.2 1195.7  -20.7
   954.1  352.3  203.6  279.9 -0.850 -0.057 -0.540 45.3 1196.2  -18.9
   957.8  369.4  213.5  300.0 -0.850 -0.057 -0.541 45.3 1196.9  -15.3
   961.5  386.5  223.3  320.0 -0.855 -0.052 -0.530 45.4 1196.4  -13.0
   965.2  403.5  233.2  340.1 -0.854 -0.053 -0.529 45.4 1194.0  -11.2
