## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN: 3180    X0/2A= 0.9167    PHI=   0.0    RE= 6.52E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
  1002.9    0.0  119.6    9.5 -1.019  0.014 -0.283 45.2 1297.2 -131.9
  1004.0    0.0  124.4   14.4 -1.006 -0.007 -0.313 45.3 1291.6 -122.7
  1005.3    0.0  129.2   19.4 -0.990 -0.015 -0.341 45.2 1269.4 -102.3
  1006.5    0.0  134.2   24.5 -0.978 -0.018 -0.360 45.3 1260.7  -87.5
  1007.8    0.0  138.9   29.4 -0.966 -0.020 -0.375 45.3 1249.3  -80.2
  1009.0    0.0  143.8   34.4 -0.957 -0.022 -0.387 45.3 1239.7  -70.9
  1010.3    0.0  148.6   39.4 -0.951 -0.024 -0.396 45.2 1230.4  -62.9
  1012.6    0.0  158.4   49.5 -0.936 -0.027 -0.412 45.3 1216.7  -48.6
  1015.1    0.0  168.1   59.5 -0.926 -0.027 -0.426 45.1 1200.2  -40.0
  1017.5    0.0  177.8   69.5 -0.917 -0.023 -0.442 45.2 1202.3  -36.5
  1020.0    0.0  187.5   79.5 -0.910 -0.027 -0.447 45.2 1190.1  -26.4
  1022.5    0.0  197.2   89.5 -0.904 -0.029 -0.454 45.3 1189.4  -20.7
  1024.7    0.0  206.9   99.5 -0.899 -0.027 -0.461 45.1 1178.6  -16.5
  1027.2    0.0  216.6  109.5 -0.895 -0.027 -0.463 45.2 1177.3  -13.3
  1029.7    0.0  226.3  119.5 -0.891 -0.029 -0.468 45.1 1170.0   -8.6
  1031.9    0.0  236.0  129.4 -0.888 -0.025 -0.472 45.2 1170.1   -8.1
  1034.4    0.0  245.7  139.5 -0.886 -0.026 -0.472 45.2 1167.9   -2.6
  1039.4    0.0  265.1  159.5 -0.879 -0.028 -0.479 45.2 1160.5    2.8
  1044.3    0.0  284.4  179.4 -0.876 -0.028 -0.480 45.2 1154.1    5.6
  1049.0    0.0  303.9  199.5 -0.872 -0.029 -0.484 45.2 1151.7   10.5
  1054.0    0.0  323.3  219.5 -0.870 -0.029 -0.485 45.3 1156.3   12.9
  1058.9    0.0  342.6  239.4 -0.868 -0.027 -0.489 45.2 1149.7   14.0
  1063.8    0.0  362.0  259.4 -0.867 -0.028 -0.491 45.2 1150.2   16.1
  1068.6    0.0  381.4  279.4 -0.865 -0.031 -0.488 45.3 1146.9   20.8
  1073.5    0.0  400.9  299.5 -0.863 -0.029 -0.490 45.1 1135.4   21.3
  1078.5    0.0  420.2  319.4 -0.862 -0.028 -0.493 45.1 1134.9   21.3
  1083.4    0.0  439.6  339.5 -0.860 -0.027 -0.494 45.2 1137.1   22.6
