## PROLATE SPHEROID 1:6, L= 2.4 M IN NWG
# MEAN VELOCITIES IN THE FLOW FIELD, ALPHA= 29.6 DEG.
#
# NOMENCLATURE:
# X,Y,Z   CARTESIAN COORDINATES ORIGINATING FROM THE CENTER OF
#         THE MODEL.
#         *** NOTE: IN THE TABLES X AND Y SHOULD BE READ -X AND -Y !!!
#         ------------------------------------------------------------
# H       DISTANCE FROM MODEL SURFACE
# U,V,W   VELOCITY COMPONENTS ALIGNED WITH CARTESIAN COORDINATES X,Y,Z
# UINF    FREE STREAM (REFERENCE) VELOCITY
# PDYN    LOCAL DYNAMIC PRESSURE
# PSTAT   LOCAL STATIC PRESSURE
#
##  RUN: 3194    X0/2A= 0.9167    PHI= 165.0    RE= 6.42E06
#
#   X(MM)  Y(MM)  Z(MM)  H(MM) U/UINF V/UINF W/UINF UINF  PDYN   PSTAT
  1002.6   31.2 -116.5   10.4 -0.961 -0.111  0.195 45.2 1117.4   22.5
  1003.8   32.5 -121.2   15.4 -0.962 -0.099  0.200 45.3 1124.6   18.2
  1004.9   33.7 -125.8   20.3 -0.957 -0.152  0.211 45.2 1131.1   -0.5
  1006.1   34.9 -130.4   25.2 -0.957 -0.151  0.210 45.2 1127.1   -3.0
  1007.5   36.2 -135.2   30.3 -0.952 -0.167  0.218 45.3 1134.7  -15.9
  1008.6   37.5 -139.8   35.3 -0.955 -0.182  0.189 45.2 1127.7  -29.1
  1009.9   38.7 -144.5   40.3 -0.948 -0.204  0.214 45.2 1132.4  -53.1
  1012.4   41.2 -154.0   50.4 -0.940 -0.226  0.225 45.2 1130.1  -84.9
  1014.8   43.7 -163.3   60.3 -0.924 -0.265  0.281 45.2 1149.6 -148.1
  1017.1   46.2 -172.7   70.3 -0.937 -0.305  0.239 45.3 1183.6 -223.8
  1019.7   48.7 -182.0   80.3 -0.949 -0.330  0.229 45.4 1225.5 -305.4
  1022.2   51.1 -191.5   90.4 -0.949 -0.354  0.266 45.3 1257.1 -435.9
  1024.6   53.7 -200.8  100.4 -0.980 -0.358  0.006 45.3 1246.8 -581.2
  1027.1   56.2 -210.2  110.4 -0.968 -0.308 -0.034 45.3 1185.5 -720.0
  1029.5   58.7 -219.6  120.4 -0.975 -0.229  0.022 45.2 1144.2 -788.1
  1031.9   61.2 -228.9  130.3 -0.985 -0.044  0.120 45.3 1127.9 -858.1
  1034.4   63.7 -238.4  140.5 -1.046  0.101  0.108 45.3 1271.6 -963.7
  1039.3   68.7 -257.1  160.5 -0.937  0.375 -0.306 45.2 1266.3 -679.8
  1044.2   73.8 -275.9  180.5 -0.951  0.394 -0.251 45.2 1282.8 -425.8
  1049.1   78.8 -294.6  200.5 -0.908  0.344 -0.286 45.3 1178.9 -275.0
  1053.9   83.8 -313.2  220.4 -0.884  0.311 -0.257 45.2 1083.1 -170.1
  1058.8   88.8 -332.0  240.4 -0.839  0.307 -0.340 45.2 1049.2  -92.0
  1063.7   93.9 -350.8  260.5 -0.817  0.285 -0.395 45.3 1043.2  -32.9
  1068.6   98.8 -369.6  280.5 -0.825  0.276 -0.408 45.3 1065.8   29.6
  1073.3  103.9 -388.2  300.4 -0.826  0.260 -0.405 45.2 1051.4   88.0
  1078.2  109.0 -407.0  320.5 -0.834  0.219 -0.411 45.3 1055.3  100.2
  1083.2  113.9 -425.7  340.4 -0.841  0.182 -0.419 45.4 1058.9   98.6
