x_over_c,SA-AF  (χ∞=0.02),std-SA  (χ∞=0.02),"std-SA  (χ∞=3, turb)"
0.0167,0.005754,0.006145,0.006199
0.0500,0.005042,0.006549,0.006741
0.0833,0.003546,0.006245,0.006373
0.1167,0.002766,0.005784,0.005881
0.1500,0.002266,0.005748,0.005839
0.1833,0.001947,0.005417,0.005508
0.2167,0.001688,0.005266,0.005349
0.2500,0.001519,0.005361,0.005448
0.2833,0.001247,0.004996,0.005081
0.3167,0.001149,0.004931,0.005016
0.3500,0.001000,0.004703,0.004785
0.3833,0.000919,0.004362,0.004437
0.4167,0.000838,0.004194,0.004260
0.4500,0.000766,0.004015,0.004082
0.4833,0.000869,0.004055,0.004120
0.5167,0.001335,0.003815,0.003876
0.5500,0.002197,0.003702,0.003763
0.5833,0.002693,0.003589,0.003645
0.6167,0.002981,0.003578,0.003633
0.6500,0.003074,0.003404,0.003455
0.6833,0.003081,0.003225,0.003273
0.7167,0.003156,0.003174,0.003221
0.7500,0.003109,0.003133,0.003180
0.7833,0.002876,0.002866,0.002910
0.8167,0.002847,0.002805,0.002847
0.8500,0.002564,0.002559,0.002598
0.8833,0.002446,0.002444,0.002483
0.9167,0.002109,0.002133,0.002171
0.9500,0.001834,0.001877,0.001915
0.9833,0.001037,0.001038,0.001067
